"Season","Team","W","L","SV","IP","R","ER","H/9","K/9","BB/9","HR/9","WHIP","BABIP","EV","ERA","FIP","xFIP","RAR","RA9-WAR","WAR"
"1965","Tigers","89","73","31","1455.0","602","542","7.94","6.61","3.15","0.85","1.23",".264","","3.35","3.42","","157.6","18.8","17.7"
"1971","Reds","79","83","38","1444.0","581","538","8.09","4.67","3.12","0.70","1.25",".258","","3.35","3.52","","72.8","16.5","8.7"
"1949","Indians","89","65","19","1383.2","574","516","8.29","3.86","3.97","0.53","1.36",".261","","3.36","3.78","","167.6","26.4","16.8"
"1899","Perfectos","83","67","1","1340.2","739","500","9.91","2.22","2.15","0.28","1.34",".294","","3.36","3.56","","172.6","19.9","15.8"
"1976","Angels","76","86","17","1477.1","631","551","8.06","6.04","3.37","0.58","1.27",".272","","3.36","3.33","","146.8","14.4","16.9"
"1927","Robins","65","88","10","1375.1","625","513","9.04","3.76","2.74","0.41","1.31",".276","","3.36","3.75","","148.5","20.5","15.2"
"1889","Beaneaters","83","45","4","1166.0","626","435","8.89","3.84","3.19","0.32","1.34",".285","","3.36","3.75","","208.2","27.7","17.3"
"1924","Senators","92","62","25","1383.0","614","516","8.65","3.05","3.29","0.22","1.33",".267","","3.36","3.87","","143.8","26.0","14.2"
"1911","Naps","80","73","6","1390.2","709","519","8.94","4.37","3.57","0.11","1.39",".296","","3.36","3.15","","131.3","16.3","13.8"
"1986","Giants","83","79","35","1460.1","618","545","7.79","6.11","3.64","0.75","1.27",".262","","3.36","3.76","","124.3","17.6","13.5"
"1967","Red Sox","92","70","44","1459.1","614","545","8.06","6.23","2.94","0.88","1.22",".263","","3.36","3.50","","141.6","17.3","16.8"
"1968","Phillies","76","86","27","1448.1","615","541","8.80","5.81","2.62","0.57","1.27",".289","","3.36","2.87","","101.8","5.8","12.9"
"1928","Athletics","98","55","16","1367.2","615","511","8.88","3.99","2.79","0.43","1.30",".271","","3.36","3.62","","185.9","25.9","19.3"
"2015","Cubs","97","65","48","1461.1","608","546","7.86","8.81","2.51","0.83","1.15",".287","87.9","3.36","3.30","3.37","204.9","20.7","22.9"
"2010","Giants","92","70","57","1461.0","583","546","7.88","8.20","3.56","0.83","1.27",".282","","3.36","3.74","3.94","171.4","25.1","18.4"
"1964","Phillies","92","70","41","1461.0","632","546","8.64","6.22","2.71","0.79","1.26",".281","","3.36","3.38","","109.4","15.1","13.0"
"1885","Maroons","36","72","0","965.1","593","361","8.72","3.14","2.59","0.14","1.26",".278","","3.37","3.25","","69.3","3.3","6.3"
"1990","Expos","85","77","50","1473.1","598","551","8.24","6.05","3.12","0.78","1.26",".271","","3.37","3.70","","131.0","24.0","14.5"
"1915","Tip-Tops","70","82","16","1355.2","673","507","8.62","3.10","3.56","0.18","1.35",".275","","3.37","3.16","","80.5","3.7","9.1"
"1899","Orphans","75","73","1","1331.1","763","498","9.69","2.12","2.23","0.14","1.32",".291","","3.37","3.40","","175.2","15.9","15.9"
"1975","Reds","108","54","50","1459.0","586","546","8.77","4.09","3.00","0.69","1.31",".269","","3.37","3.74","","108.5","23.2","11.9"
"1875","Red Stockings","4","15","0","171.0","161","64","10.89","1.00","0.16","0.00","1.23",".309","","3.37","2.20","","21.3","-2.3","1.7"
"1989","Cardinals","86","76","43","1461.0","608","547","8.19","5.20","2.97","0.52","1.24",".268","","3.37","3.41","","145.7","17.7","16.4"
"1976","Pirates","92","70","35","1466.1","630","549","8.61","4.68","2.82","0.58","1.27",".272","","3.37","3.41","","139.4","15.5","15.7"
"1925","Reds","80","73","12","1375.1","643","515","9.47","2.86","2.12","0.23","1.29",".284","","3.37","3.58","","221.0","25.8","21.5"
"1955","White Sox","91","63","23","1378.0","557","516","8.50","4.70","3.25","0.72","1.30",".266","","3.37","3.50","","190.8","27.7","20.4"
"1938","Cubs","89","63","18","1396.2","598","523","9.11","3.76","2.93","0.46","1.34",".279","","3.37","3.76","","172.6","24.1","17.6"
"1877","White Stockings","26","33","3","534.0","375","200","10.62","1.55","0.98","0.12","1.29",".306","","3.37","2.99","","66.0","3.4","5.8"
"1933","Cardinals","82","71","16","1382.2","609","518","9.05","4.13","2.94","0.36","1.33",".282","","3.37","3.41","","169.5","16.1","18.5"
"1982","Cardinals","92","70","47","1465.1","609","549","8.72","4.23","3.08","0.58","1.31",".274","","3.37","3.68","","94.8","20.7","10.8"
"1946","Braves","81","72","12","1371.0","593","514","8.47","3.49","3.14","0.50","1.29",".259","","3.37","3.41","","125.3","14.6","14.2"
"1952","Senators","78","76","15","1429.2","608","536","8.84","3.61","3.63","0.49","1.39",".273","","3.37","3.57","","135.9","18.7","14.9"
"1962","Pirates","93","68","41","1432.1","626","537","9.00","5.64","2.93","0.74","1.33",".289","","3.37","3.46","","188.7","23.2","20.1"
"1948","Braves","91","62","17","1389.1","582","521","8.77","3.75","2.79","0.60","1.28",".266","","3.37","3.65","","159.4","22.4","16.5"
"1928","Cardinals","95","59","21","1415.1","634","531","9.35","2.68","2.54","0.55","1.32",".272","","3.38","4.00","","167.2","25.0","16.5"
"1971","Brewers","69","92","32","1416.1","609","532","8.28","5.05","3.62","0.83","1.32",".263","","3.38","3.78","","83.8","13.6","9.4"
"1992","Cardinals","83","79","47","1480.0","604","556","8.54","5.12","2.43","0.72","1.22",".271","","3.38","3.56","","113.4","17.4","13.0"
"1922","Browns","93","61","22","1392.0","634","523","9.13","3.45","2.71","0.46","1.32",".277","","3.38","3.91","","205.6","27.1","20.3"
"1913","Tigers","66","87","7","1360.0","716","511","8.99","3.10","3.34","0.09","1.37",".286","","3.38","3.10","","100.2","2.5","11.3"
"1915","Blues","74","78","11","1360.0","634","511","8.41","3.93","3.66","0.23","1.34",".276","","3.38","3.09","","95.0","8.8","10.9"
"1884","Wolverines","28","84","0","984.2","736","370","10.03","4.46","2.24","0.33","1.36",".317","","3.38","3.50","","97.6","-1.7","8.4"
"1986","Cardinals","79","82","46","1466.1","611","551","8.37","4.67","2.98","0.83","1.26",".264","","3.38","3.97","","81.0","23.2","8.8"
"2017","Dodgers","104","58","51","1444.2","580","543","7.64","9.65","2.75","1.15","1.15",".281","86.3","3.38","3.67","3.70","210.7","25.4","21.7"
"1946","Red Sox","104","50","20","1396.2","594","525","8.76","4.30","3.23","0.57","1.33",".271","","3.38","3.36","","148.3","20.1","17.2"
"1951","Indians","93","61","19","1391.1","594","523","8.33","4.15","3.73","0.56","1.34",".260","","3.38","3.66","","150.2","22.6","15.5"
"2013","Reds","90","72","43","1473.2","589","554","7.90","7.91","2.66","1.04","1.17",".273","","3.38","3.81","3.68","159.2","24.5","18.0"
"2014","Braves","79","83","54","1455.0","597","547","8.47","8.05","2.92","0.75","1.27",".300","","3.38","3.47","3.63","166.0","20.8","18.6"
"1967","Senators","76","85","39","1473.1","637","554","8.15","5.36","3.02","0.69","1.24",".264","","3.38","3.43","","90.4","8.2","10.5"
"1989","Padres","89","73","52","1457.1","626","548","8.39","5.76","2.97","0.82","1.26",".271","","3.38","3.70","","133.5","17.6","15.0"
"1944","Yankees","83","71","13","1390.1","617","523","8.75","3.42","3.44","0.53","1.35",".266","","3.39","3.72","","83.1","15.3","9.1"
"1890","Pirates","75","62","2","1219.1","770","459","9.14","3.40","3.71","0.20","1.43",".289","","3.39","3.74","","212.2","26.7","17.0"
"1955","Indians","93","61","36","1386.1","601","522","8.34","5.69","3.62","0.72","1.33",".271","","3.39","3.40","","203.9","22.7","21.7"
"1975","Mets","82","80","31","1466.0","625","552","8.25","6.07","3.56","0.61","1.31",".277","","3.39","3.35","","154.6","17.0","17.9"
"1922","Yankees","94","60","14","1393.2","618","525","9.05","2.96","2.73","0.47","1.31",".273","","3.39","3.99","","163.4","26.2","15.8"
"1947","Yankees","97","57","21","1374.1","568","518","8.00","4.53","4.11","0.62","1.35",".254","","3.39","3.80","","121.4","21.3","13.1"
"1911","Dodgers","64","86","10","1371.2","659","517","8.60","3.50","3.71","0.18","1.37",".278","","3.39","3.48","","104.2","12.9","10.4"
"2019","Dodgers","106","56","44","1445.2","613","545","7.48","9.46","2.44","1.15","1.10",".271","87.6","3.39","3.73","3.87","239.5","26.1","24.4"
"1904","Phillies","52","100","2","1339.1","784","505","9.53","3.15","2.86","0.15","1.38",".297","","3.39","2.88","","74.8","-7.5","8.4"
"1992","Cubs","78","84","37","1469.0","624","554","8.19","5.52","3.52","0.66","1.30",".269","","3.39","3.77","","98.8","17.7","11.9"
"1990","Pirates","95","67","43","1447.0","619","546","8.50","5.27","2.57","0.84","1.23",".270","","3.40","3.77","","124.1","19.6","13.8"
"1928","Cubs","91","63","14","1380.2","615","521","9.02","3.46","3.31","0.37","1.37",".279","","3.40","3.83","","179.9","24.4","17.8"
"2018","Dodgers","92","71","48","1476.0","610","557","7.80","9.54","2.57","1.09","1.15",".284","87.6","3.40","3.60","3.52","175.5","20.5","18.9"
"1958","Orioles","74","79","28","1369.2","575","517","8.39","4.92","2.65","0.70","1.23",".266","","3.40","3.35","","167.5","17.7","18.3"
"1988","Giants","83","79","42","1462.1","626","552","8.14","5.39","2.60","0.61","1.19",".265","","3.40","3.38","","141.8","10.8","16.3"
"1981","Rangers","57","48","18","940.1","389","355","8.14","4.67","3.08","0.64","1.25",".260","","3.40","3.57","","86.1","12.3","9.6"
"1990","Reds","91","71","50","1456.1","597","550","8.27","6.36","3.36","0.77","1.29",".276","","3.40","3.69","","192.6","26.6","21.2"
"1960","Dodgers","82","72","20","1398.0","593","528","7.84","7.22","3.63","0.99","1.27",".265","","3.40","3.63","","150.7","23.9","16.9"
"1926","Indians","88","66","4","1374.0","611","519","9.25","2.50","2.95","0.32","1.36",".275","","3.40","3.90","","166.1","27.1","16.6"
"1918","Tigers","55","71","7","1160.2","558","439","8.76","2.90","3.39","0.08","1.35",".276","","3.40","2.91","","85.0","0.8","10.2"
"2014","Dodgers","94","68","47","1464.2","617","554","8.22","8.44","2.64","0.87","1.21",".292","","3.40","3.48","3.33","161.5","15.5","19.5"
"1938","Bees","77","75","12","1380.0","618","522","8.97","2.69","3.03","0.43","1.33",".265","","3.40","4.02","","79.2","15.6","8.0"
"1985","Padres","83","79","44","1451.1","622","549","8.68","4.51","2.75","0.79","1.27",".269","","3.40","3.79","","128.5","18.1","14.1"
"2010","Padres","90","72","49","1456.1","581","551","8.06","8.00","3.20","0.86","1.25",".286","","3.41","3.66","3.67","152.9","21.0","16.3"
"1988","Astros","82","80","40","1474.2","631","558","8.17","6.40","2.92","0.75","1.23",".270","","3.41","3.48","","98.5","12.2","11.2"
"1914","Packers","67","84","12","1361.0","683","515","9.17","3.97","2.94","0.24","1.35",".294","","3.41","2.89","","91.1","5.3","10.5"
"1898","Pirates","72","76","3","1323.2","694","501","9.52","2.24","2.35","0.10","1.32",".289","","3.41","3.19","","156.4","16.5","14.8"
"1874","White Stockings","28","31","0","533.2","480","202","11.74","0.51","0.81","0.12","1.39",".318","","3.41","3.14","","81.8","3.9","5.9"
"1964","Colt .45's","66","96","31","1428.0","628","541","8.96","5.37","2.22","0.66","1.24",".283","","3.41","3.17","","125.7","11.5","14.7"
"1902","White Sox","74","60","0","1221.2","602","463","9.35","2.55","2.44","0.22","1.31",".286","","3.41","3.23","","97.5","15.4","9.6"
"1992","Dodgers","63","99","29","1438.0","636","545","8.77","6.14","3.46","0.51","1.36",".290","","3.41","3.37","","137.3","9.2","15.8"
"1953","White Sox","89","65","33","1403.2","592","532","8.33","4.58","3.74","0.72","1.34",".262","","3.41","3.92","","141.4","24.5","14.8"
"1968","Cubs","84","78","32","1453.2","611","551","8.66","5.53","2.43","0.85","1.23",".274","","3.41","3.25","","81.7","12.1","10.7"
"1943","Browns","72","80","14","1385.0","604","525","9.08","3.72","3.17","0.48","1.36",".277","","3.41","3.38","","129.7","14.1","15.0"
"1909","Cardinals","54","98","4","1379.2","728","523","8.92","2.84","3.15","0.14","1.34",".280","","3.41","2.84","","62.3","-7.8","7.3"
"1920","Indians","98","56","7","1377.0","644","522","9.46","3.05","2.62","0.20","1.34",".296","","3.41","3.30","","192.6","24.4","20.3"
"1906","Americans","49","105","6","1382.0","711","524","8.86","3.58","1.86","0.24","1.19",".283","","3.41","2.54","","107.8","-1.6","13.1"
"1966","Yankees","70","89","32","1415.2","612","537","8.38","5.35","2.82","0.79","1.24",".267","","3.41","3.49","","124.0","12.2","13.8"
"2009","Dodgers","95","67","44","1473.1","611","559","7.73","7.77","3.57","0.78","1.25",".275","","3.41","3.80","4.07","178.7","21.8","18.6"
"1884","Athletics","61","46","0","948.2","546","360","8.73","5.03","1.20","0.15","1.10",".296","","3.42","2.77","","156.4","11.8","14.1"
"1982","Astros","77","85","31","1446.2","620","549","8.32","5.59","2.98","0.54","1.26",".276","","3.42","3.32","","131.4","13.9","14.9"
"1974","Mets","71","91","14","1470.1","646","558","8.77","5.56","3.09","0.61","1.32",".284","","3.42","3.30","","164.2","14.1","18.9"
"1926","Reds","87","67","8","1408.2","651","535","9.26","2.71","2.07","0.26","1.26",".278","","3.42","3.43","","175.5","18.6","18.0"
"2012","Braves","94","68","47","1445.1","600","549","8.16","7.67","2.89","0.90","1.23",".284","","3.42","3.74","3.80","104.7","19.6","11.4"
"1974","Reds","98","64","27","1466.1","631","557","8.37","5.37","3.29","0.77","1.30",".267","","3.42","3.63","","129.1","17.4","14.4"
"1886","Grays","76","61","0","1234.2","832","469","8.76","3.94","3.38","0.12","1.35",".287","","3.42","3.53","","119.9","8.5","10.3"
"1978","Pirates","88","73","44","1444.2","637","549","8.51","5.48","3.11","0.64","1.29",".273","","3.42","3.40","","154.2","16.3","17.6"
"1935","Pirates","86","67","11","1365.2","647","519","9.41","3.62","2.06","0.42","1.27",".280","","3.42","3.58","","209.5","21.5","21.4"
"1933","Reds","58","94","8","1352.0","643","514","9.79","2.06","1.71","0.31","1.28",".282","","3.42","3.39","","139.7","7.0","15.0"
"1912","Reds","75","78","10","1377.2","724","524","9.51","3.66","2.95","0.18","1.38",".300","","3.42","3.28","","146.7","12.5","14.9"
"1979","Pirates","98","64","52","1493.1","643","568","8.58","5.45","3.04","0.75","1.29",".276","","3.42","3.68","","163.9","23.3","17.7"
"1978","Expos","76","86","32","1446.0","611","550","8.29","4.61","3.56","0.73","1.32",".264","","3.42","3.86","","47.7","16.8","5.7"
"1912","Cubs","91","59","9","1358.2","668","517","8.66","3.67","3.27","0.22","1.32",".280","","3.42","3.44","","114.6","15.3","11.5"
"1990","Mets","91","71","41","1440.0","613","548","8.37","7.61","2.78","0.74","1.24",".290","","3.43","3.17","","215.9","18.1","24.4"
"1937","Giants","95","57","17","1361.0","602","518","8.87","4.32","2.67","0.56","1.28",".276","","3.43","3.83","","144.2","21.1","14.7"
"1989","Cubs","93","69","55","1460.1","623","556","8.44","5.66","3.28","0.65","1.30",".276","","3.43","3.59","","143.5","20.2","16.1"
"1972","Cardinals","75","81","13","1399.2","600","533","8.29","5.86","3.41","0.56","1.30",".277","","3.43","3.09","","159.2","15.7","19.3"
"2011","Padres","71","91","44","1449.1","611","552","8.22","7.07","3.24","0.78","1.27",".283","","3.43","3.73","3.93","139.5","15.8","15.1"
"2013","Cardinals","97","65","44","1459.2","596","556","8.42","7.73","2.78","0.69","1.24",".297","","3.43","3.39","3.63","152.8","17.4","17.3"
"1884","Blues","35","77","0","994.2","716","379","9.46","4.36","2.43","0.32","1.32",".303","","3.43","3.57","","80.5","-1.1","6.8"
"1978","Rangers","87","75","25","1456.1","632","555","8.84","4.80","2.60","0.67","1.27",".278","","3.43","3.40","","190.3","20.8","21.2"
"1904","Beaneaters","55","98","0","1348.1","757","514","9.38","3.63","3.34","0.17","1.41",".298","","3.43","2.96","","70.4","-4.1","7.9"
"1964","Cardinals","93","69","38","1445.1","652","551","8.75","5.46","2.55","0.83","1.26",".275","","3.43","3.50","","155.6","19.5","18.1"
"1891","Orioles","71","63","2","1217.0","798","464","9.16","3.02","3.49","0.24","1.41",".285","","3.43","3.52","","153.9","14.6","13.3"
"1920","Cardinals","75","79","12","1426.2","682","544","9.39","3.34","3.02","0.19","1.38",".291","","3.43","3.41","","88.1","4.8","9.5"
"1968","Angels","67","95","31","1437.0","615","548","7.73","5.44","3.25","0.82","1.22",".250","","3.43","3.51","","27.8","2.0","3.4"
"1891","Kelly's Killers","43","57","1","902.0","643","344","9.19","3.30","4.45","0.20","1.52",".289","","3.43","3.72","","112.6","8.1","9.7"
"1973","Reds","99","63","43","1473.0","621","562","8.49","4.89","3.16","0.82","1.29",".266","","3.43","3.78","","87.0","17.5","9.4"
"1992","Brewers","92","70","39","1457.0","604","556","8.30","4.90","2.69","0.78","1.22",".262","","3.43","3.82","","150.0","25.1","16.2"
"1884","Nationals","46","64","0","953.2","679","364","9.36","6.46","1.59","0.15","1.22",".327","","3.44","2.58","","94.2","2.6","8.9"
"1929","Athletics","104","46","24","1357.0","616","518","9.09","3.80","3.23","0.48","1.37",".277","","3.44","4.13","","176.2","27.3","16.9"
"1944","Pirates","90","63","19","1414.1","662","540","9.33","2.88","2.77","0.41","1.34",".273","","3.44","3.46","","171.6","16.8","18.7"
"2014","Orioles","96","66","53","1461.1","593","558","8.27","7.23","2.91","0.93","1.24",".280","","3.44","3.96","3.92","117.9","24.8","12.9"
"1898","Giants","77","72","1","1353.2","800","517","9.04","3.71","3.90","0.14","1.44",".291","","3.44","3.44","","120.3","8.6","11.1"
"1988","Athletics","104","58","64","1489.2","620","569","8.31","5.94","3.34","0.70","1.29",".275","","3.44","3.63","","164.6","21.7","17.6"
"1963","Colt .45's","66","96","20","1450.1","640","554","8.32","5.81","2.35","0.59","1.19",".271","","3.44","2.89","","150.9","8.0","18.0"
"1978","Royals","92","70","33","1439.0","634","550","8.44","4.11","2.99","0.68","1.27",".261","","3.44","3.71","","136.2","20.1","14.8"
"1947","Indians","80","74","29","1402.1","588","536","7.98","3.79","4.03","0.60","1.33",".251","","3.44","3.92","","69.6","17.1","7.4"
"1903","Superbas","70","66","4","1221.1","694","467","9.40","3.23","2.78","0.13","1.35",".295","","3.44","3.15","","109.3","8.0","11.1"
"1991","Pirates","98","64","51","1456.2","632","557","8.72","5.68","2.48","0.72","1.24",".283","","3.44","3.53","","151.6","15.7","16.8"
"1995","Braves","90","54","34","1291.2","540","494","8.25","7.57","3.04","0.75","1.25",".287","","3.44","3.58","","225.9","28.0","24.2"
"1960","Giants","79","75","26","1396.0","631","534","8.30","5.78","3.30","0.69","1.29",".270","","3.44","3.39","","142.1","14.4","15.8"
"1932","Cubs","90","64","7","1401.0","633","536","9.28","3.39","2.63","0.44","1.32",".278","","3.44","3.83","","154.8","21.8","15.5"
"1942","Red Sox","93","59","17","1358.2","594","520","8.35","3.31","3.66","0.43","1.33",".258","","3.44","3.56","","129.8","20.6","14.3"
"1988","Brewers","87","75","51","1449.2","616","555","8.41","5.17","2.71","0.78","1.24",".267","","3.45","3.69","","165.3","24.4","17.9"
"1949","Cardinals","96","58","19","1407.2","615","539","8.67","3.87","3.24","0.56","1.32",".268","","3.45","3.59","","213.9","25.5","22.4"
"1971","Yankees","81","80","12","1452.0","641","556","8.57","4.38","2.62","0.78","1.24",".263","","3.45","3.53","","105.1","9.7","11.9"
"2013","Royals","86","76","52","1448.1","601","555","8.49","7.51","2.91","0.96","1.27",".290","","3.45","3.83","3.90","162.0","27.4","17.5"
"1899","Colonels","75","77","2","1351.2","775","518","10.05","1.91","2.15","0.22","1.36",".295","","3.45","3.54","","166.7","16.0","15.0"
"1981","Braves","50","56","24","968.0","416","371","8.70","4.38","3.07","0.58","1.31",".273","","3.45","3.52","","92.1","11.5","10.8"
"1983","Astros","85","77","48","1466.1","646","562","7.83","5.55","3.50","0.58","1.26",".261","","3.45","3.58","","115.2","12.3","12.6"
"1931","Cardinals","101","53","20","1384.2","614","531","9.55","4.07","2.92","0.42","1.39",".295","","3.45","3.84","","170.8","23.1","17.2"
"1943","Red Sox","68","84","16","1426.1","607","547","8.64","3.24","3.88","0.38","1.39",".268","","3.45","3.57","","92.0","14.2","10.5"
"2015","Mets","90","72","50","1462.2","613","561","8.25","8.23","2.36","0.94","1.18",".288","87.7","3.45","3.53","3.60","171.4","16.5","19.0"
"1963","Orioles","86","76","43","1452.0","621","557","8.39","5.66","3.14","0.85","1.28",".270","","3.45","3.56","","115.4","15.1","12.8"
"1972","Brewers","65","91","32","1391.2","595","534","8.34","4.79","3.14","0.75","1.28",".262","","3.45","3.54","","58.4","6.5","6.9"
"1945","Yankees","81","71","14","1355.0","606","520","8.48","3.15","3.22","0.44","1.30",".259","","3.45","3.57","","107.3","11.3","11.8"
"1922","Giants","93","61","15","1396.1","658","536","9.37","2.50","2.53","0.46","1.32",".275","","3.45","4.00","","118.5","22.9","11.5"
"1980","Giants","75","86","35","1448.1","634","556","8.99","5.04","3.06","0.57","1.34",".285","","3.46","3.54","","108.1","12.2","12.0"
"2015","Dodgers","92","70","47","1445.2","595","555","8.20","8.69","2.46","0.90","1.18",".296","87.4","3.46","3.41","3.33","169.4","18.0","19.7"
"1936","Giants","92","62","22","1385.2","631","532","9.47","3.25","2.60","0.49","1.34",".286","","3.46","4.16","","133.0","22.3","12.9"
"1913","Reds","64","89","10","1380.0","717","530","9.12","3.40","2.97","0.26","1.34",".287","","3.46","3.17","","100.2","4.5","11.0"
"1885","Grays","53","59","1","991.2","650","381","8.67","3.96","1.91","0.25","1.18",".282","","3.46","2.99","","108.6","6.8","9.9"
"1970","Mets","83","79","32","1459.2","630","561","7.77","6.56","3.55","0.83","1.26",".260","","3.46","3.62","","163.5","24.8","18.0"
"1921","Reds","70","83","9","1363.0","648","524","9.90","2.69","2.01","0.24","1.32",".295","","3.46","3.56","","157.6","15.6","15.8"
"1980","Phillies","91","71","40","1480.0","639","569","8.63","5.41","3.22","0.53","1.32",".282","","3.46","3.43","","175.0","19.2","20.2"
"1887","White Stockings","71","50","3","1126.0","716","433","9.24","4.08","2.70","0.44","1.33",".292","","3.46","3.91","","215.2","20.5","17.4"
"1961","Yankees","109","53","39","1451.0","612","558","7.99","5.37","3.36","0.85","1.26",".257","","3.46","3.79","","144.7","23.4","14.9"
"1892","Senators","58","93","3","1315.1","869","506","8.85","3.28","3.80","0.27","1.41",".279","","3.46","3.47","","115.1","3.6","10.6"
"1896","Spiders","80","48","5","1195.2","650","460","10.26","2.53","2.11","0.20","1.37",".306","","3.46","3.86","","231.3","29.0","19.4"
"1938","Pirates","86","64","15","1379.2","630","531","9.17","3.63","2.82","0.46","1.33",".280","","3.46","3.78","","150.6","17.2","15.2"
"1992","Reds","90","72","55","1449.2","609","558","8.46","6.58","2.92","0.68","1.26",".286","","3.46","3.33","","178.9","16.1","20.9"
"1957","Orioles","76","76","25","1408.0","588","542","8.13","4.90","3.15","0.61","1.25",".263","","3.46","3.35","","164.9","17.2","17.9"
"1959","Giants","83","71","23","1376.1","613","530","8.36","5.71","3.27","0.91","1.29",".264","","3.47","3.75","","134.3","19.8","14.3"
"1976","Rangers","76","86","15","1472.0","652","567","8.95","4.73","2.82","0.65","1.31",".281","","3.47","3.52","","114.7","13.3","13.5"
"1988","Pirates","85","75","46","1440.2","616","555","8.43","4.94","2.93","0.67","1.26",".268","","3.47","3.69","","102.4","13.3","11.7"
"1931","Athletics","107","45","16","1365.1","626","526","8.85","3.78","3.01","0.48","1.32",".275","","3.47","3.99","","193.3","31.2","19.2"
"1899","Phillies","94","58","2","1333.1","743","514","9.44","1.90","2.50","0.11","1.33",".284","","3.47","3.51","","148.0","16.4","13.3"
"1988","Cardinals","76","86","42","1470.2","633","567","8.49","5.39","2.97","0.56","1.27",".277","","3.47","3.40","","132.5","15.2","15.4"
"1957","Braves","95","59","24","1411.0","613","544","8.59","4.42","3.64","0.79","1.36",".266","","3.47","3.86","","72.8","16.0","7.7"
"1897","Giants","81","48","3","1187.1","695","458","9.20","3.46","3.68","0.20","1.43",".291","","3.47","4.07","","130.2","19.9","10.7"
"1889","Giants","83","43","3","1151.0","708","444","8.39","4.36","4.09","0.30","1.39",".278","","3.47","3.90","","140.1","15.1","11.3"
"1887","Quakers","75","48","1","1132.2","702","437","9.32","3.46","2.42","0.38","1.30",".290","","3.47","3.87","","189.1","19.5","15.0"
"1967","Braves","77","85","32","1454.0","640","561","8.52","5.34","2.78","0.73","1.26",".272","","3.47","3.42","","100.6","12.7","11.8"
"1891","Colts","82","53","3","1220.2","730","471","8.90","3.52","3.50","0.39","1.38",".280","","3.47","3.63","","134.1","15.6","11.5"
"1902","Cardinals","56","78","4","1227.2","695","474","10.26","2.93","2.48","0.12","1.41",".311","","3.47","3.01","","70.7","-5.2","7.5"
"1980","Expos","90","72","36","1456.2","629","563","8.94","5.08","2.84","0.62","1.31",".283","","3.48","3.51","","143.0","17.4","16.0"
"1951","Giants","98","59","18","1412.2","641","546","8.50","3.98","3.07","0.94","1.29",".254","","3.48","4.02","","135.3","20.0","14.2"
"1996","Dodgers","90","72","50","1466.1","652","567","8.46","7.44","3.28","0.77","1.30",".291","","3.48","3.80","","204.3","19.6","20.5"
"1974","Astros","81","81","18","1450.2","632","561","8.66","4.58","3.73","0.52","1.38",".275","","3.48","3.63","","96.5","14.7","10.5"
"1989","Expos","81","81","35","1468.1","630","568","8.24","6.49","3.18","0.74","1.27",".277","","3.48","3.51","","136.1","15.5","15.3"
"1976","Indians","81","78","46","1432.0","615","554","8.55","5.83","3.35","0.50","1.32",".288","","3.48","3.25","","183.7","15.8","21.0"
"1984","Padres","92","70","44","1460.1","634","565","8.18","5.00","3.47","0.75","1.29",".260","","3.48","3.94","","70.0","15.1","7.7"
"1970","Angels","86","76","49","1462.1","630","566","7.88","5.67","3.44","0.95","1.26",".255","","3.48","3.98","","85.3","15.3","8.9"
"1967","Cubs","87","74","28","1457.0","624","564","8.35","5.49","2.86","0.88","1.25",".265","","3.48","3.60","","95.9","17.5","11.4"
"1941","Pirates","81","73","12","1374.1","643","532","9.12","2.68","3.22","0.43","1.37",".267","","3.48","3.79","","122.0","14.6","12.8"
"2011","Braves","89","73","52","1479.2","605","573","8.10","8.10","3.17","0.76","1.25",".288","","3.49","3.49","3.54","131.7","18.0","14.2"
"2005","Cardinals","100","62","48","1445.2","634","560","8.71","6.06","2.76","0.95","1.27",".282","","3.49","4.09","3.98","150.1","22.5","15.5"
"1985","Royals","91","71","41","1461.0","639","566","8.83","5.21","2.85","0.63","1.30",".281","","3.49","3.45","","234.5","26.5","24.8"
"1974","Cardinals","86","75","20","1473.1","643","571","8.55","4.85","3.76","0.59","1.37",".274","","3.49","3.66","","108.4","19.0","11.9"
"2008","Blue Jays","86","76","44","1446.2","610","561","8.27","7.37","2.91","0.83","1.24",".284","","3.49","3.81","3.92","215.5","30.5","22.3"
"1993","Astros","85","77","42","1441.1","630","559","8.51","6.59","2.97","0.73","1.28",".284","","3.49","3.65","","171.2","19.7","17.8"
"1975","Royals","91","71","25","1456.2","649","565","8.79","5.04","3.08","0.67","1.32",".279","","3.49","3.52","","169.2","21.5","18.1"
"1960","Pirates","95","59","33","1399.2","593","543","8.76","5.21","2.48","0.68","1.25",".280","","3.49","3.19","","182.9","20.4","20.6"
"2014","Pirates","88","74","48","1456.1","631","565","8.29","7.59","3.08","0.79","1.26",".290","","3.49","3.80","3.71","72.8","11.1","8.2"
"1984","Tigers","104","58","51","1464.0","643","568","8.35","5.62","3.01","0.80","1.26",".269","","3.49","3.74","","185.5","20.7","19.5"
"1980","Athletics","83","79","13","1471.2","642","571","8.24","4.70","3.19","0.87","1.27",".256","","3.49","4.09","","128.4","22.5","13.7"
"2014","Mets","79","83","42","1463.2","618","568","8.42","8.01","3.13","0.87","1.28",".295","","3.49","3.75","3.70","112.7","12.4","12.7"
"1944","Senators","64","90","11","1381.0","664","536","9.19","3.28","3.10","0.31","1.36",".279","","3.49","3.35","","112.0","7.3","12.5"
