"Season","Team","W","L","SV","IP","R","ER","H/9","K/9","BB/9","HR/9","WHIP","BABIP","EV","ERA","FIP","xFIP","RAR","RA9-WAR","WAR"
"1904","Giants","106","46","15","1396.2","475","337","7.42","4.56","2.25","0.23","1.07",".257","","2.17","2.49","","157.1","31.2","18.1"
"1884","Eclipse","68","40","0","989.2","425","239","7.60","4.27","0.88","0.08","0.94",".263","","2.17","2.73","","137.1","24.5","12.3"
"1915","Phillies","90","62","8","1374.1","463","332","7.60","4.27","2.24","0.17","1.09",".260","","2.17","2.45","","172.5","27.0","21.0"
"1879","Grays","59","25","2","776.0","355","188","8.87","3.82","0.72","0.10","1.07",".289","","2.18","2.28","","92.7","16.0","8.5"
"1918","Cubs","84","45","8","1197.0","393","290","7.89","3.55","2.23","0.10","1.12",".257","","2.18","2.38","","146.2","23.7","18.3"
"1879","Red Caps","54","30","0","753.0","348","183","9.05","2.75","0.55","0.11","1.07",".283","","2.19","2.47","","83.7","17.1","7.7"
"1905","Athletics","92","56","0","1383.1","492","337","7.40","5.82","2.66","0.14","1.12",".271","","2.19","2.31","","163.0","23.6","19.3"
"1916","Braves","89","63","11","1415.2","453","345","7.67","4.09","2.07","0.15","1.08",".258","","2.19","2.38","","131.2","22.3","16.2"
"1917","Red Sox","90","62","7","1421.1","453","347","7.58","3.22","2.62","0.08","1.13",".252","","2.20","2.63","","116.4","26.1","13.8"
"1902","Orphans","68","69","2","1275.1","501","313","8.71","3.08","1.97","0.05","1.19",".280","","2.21","2.71","","108.3","18.3","11.5"
"1919","Cubs","75","65","5","1265.0","407","311","8.02","3.52","2.09","0.10","1.12",".260","","2.21","2.61","","158.6","26.1","19.1"
"1906","Pirates","93","60","2","1358.0","464","334","8.18","3.53","2.05","0.09","1.14",".270","","2.21","2.39","","150.0","23.6","17.8"
"1882","White Stockings","55","29","0","763.2","353","188","7.86","3.29","1.20","0.15","1.01",".259","","2.22","2.66","","106.2","18.3","9.8"
"1907","White Sox","87","64","9","1406.1","475","347","8.19","3.87","1.95","0.08","1.13",".274","","2.22","2.09","","117.8","21.9","14.5"
"1908","White Sox","88","64","10","1414.0","479","349","7.45","3.97","1.81","0.07","1.03",".256","","2.22","1.92","","118.8","18.5","15.4"
