"Season","Team","G","GS","Inn","PO","A","E","FE","TE","DP","DPS","DPT","DPF","Scp","SB","CS","PB","WP","FP","TZ"
"2001","Cardinals","2219","1457","12918.0","4306","1667","110","","","418","","","","","51","37","7","45",".982","64"
"1884","Grays","703","114","1036.1","2537","1262","324","","","117","","","","","","","77","",".921","63"
"1944","Reds","1064","155","1398.1","3003","1899","113","","","381","","","","","","","5","",".977","63"
"1981","Tigers","1297","981","8724.0","2908","1264","67","","","296","","","","","58","40","8","24",".984","63"
"1984","Royals","1933","1458","12996.0","4324","1859","131","","","442","","","","","94","51","3","31",".979","63"
"1997","Astros","2042","1457","13123.0","4375","1875","131","","","456","","","","","92","57","6","46",".979","63"
"1933","Giants","1118","156","1408.2","3262","2043","153","","","400","","","","","","","12","",".972","62"
"1972","Twins","1842","1386","12594.0","4193","1729","159","","","352","","","","","69","48","7","26",".974","62"
"1975","Reds","2003","1458","13131.0","4376","1781","102","","","457","","","","","61","29","3","49",".984","62"
"1993","White Sox","1970","1458","13086.0","4361","1665","112","","","410","","","","","82","82","15","51",".982","62"
"2001","Braves","2066","1458","13026.0","4342","1636","103","","","353","","","","","102","50","9","41",".983","62"
"1876","Brown Stockings","389","64","577.0","1486","699","226","","","71","","","","","","","57","",".906","61"
"1905","White Sox","999","158","1427.0","3454","2175","172","","","246","","","","","","","19","",".970","61"
"1958","Yankees","1703","1395","12411.0","4134","1679","128","","","487","","","","","42","48","9","24",".978","61"
"1970","Angels","1971","1458","13161.0","4377","1782","127","","","461","","","","","78","42","27","51",".980","61"
"1970","Orioles","1855","1458","13308.0","4424","1691","116","","","387","","","","","55","43","12","44",".981","61"
"1974","Reds","2076","1467","13197.0","4402","1735","134","","","397","","","","","56","41","6","53",".979","61"
"2001","Rockies","2140","1458","12870.0","4290","1697","96","","","450","","","","","100","36","14","38",".984","61"
"1899","Beaneaters","942","153","1348.0","3107","1886","256","","","291","","","","","","","24","",".951","60"
"1924","Pirates","1045","153","1382.0","3035","1985","134","","","418","","","","","","","12","",".974","60"
"1934","Giants","1137","153","1370.0","3208","2004","141","","","361","","","","","","","12","",".974","60"
"1959","Indians","1702","1386","12453.0","4147","1586","127","","","361","","","","","59","38","6","44",".978","60"
"1965","Dodgers","1869","1458","13284.0","4423","1814","134","","","358","","","","","53","34","9","52",".979","60"
"1967","Tigers","2053","1467","12993.0","4328","1663","133","","","333","","","","","79","38","19","45",".978","60"
"1968","Pirates","1857","1467","13386.0","4455","2000","139","","","445","","","","","56","44","11","40",".979","60"
"1973","Red Sox","1728","1458","12963.0","4324","1723","127","","","436","","","","","72","45","5","25",".979","60"
"1977","Phillies","2009","1457","13093.0","4363","1951","120","","","452","","","","","119","62","4","44",".981","60"
"1981","Athletics","1226","981","8937.0","2980","1081","81","","","198","","","","","50","45","2","30",".980","60"
"1984","Orioles","1970","1458","12954.0","4320","1909","122","","","445","","","","","99","48","9","58",".981","60"
"1986","Giants","2110","1457","13143.0","4379","1794","143","","","403","","","","","137","88","12","58",".977","60"
"1885","Giants","690","112","994.0","2501","1318","291","","","193","","","","","","","91","",".929","59"
"1906","Cubs","976","154","1388.1","3336","1887","176","","","235","","","","","","","14","",".967","59"
"1956","Braves","1778","1395","12540.0","4196","1739","130","","","423","","","","","14","14","5","14",".979","59"
"1957","White Sox","1749","1395","12615.0","4204","1788","107","","","458","","","","","38","32","11","31",".982","59"
"1958","Pirates","1731","1386","12303.0","4072","1725","133","","","468","","","","","44","34","14","26",".978","59"
"1976","Dodgers","1804","1458","13236.0","4411","1833","128","","","408","","","","","114","55","14","32",".980","59"
"1986","Tigers","1869","1458","12993.0","4330","1707","108","","","433","","","","","87","49","12","50",".982","59"
"1997","Cardinals","2181","1458","13101.0","4366","1739","123","","","411","","","","","134","66","18","48",".980","59"
"1942","Yankees","1054","154","1375.0","3088","1725","125","","","496","","","","","","","4","",".975","58"
"1948","Indians","1204","156","1409.1","3132","1809","91","","","475","","","","","","","8","",".982","58"
"1961","Tigers","1836","1467","13134.0","4361","1545","146","","","374","","","","","44","42","13","29",".976","58"
"1961","Braves","1690","1395","12522.0","4162","1848","111","","","427","","","","","43","36","11","28",".982","58"
"1966","Twins","1790","1458","12948.0","4318","1590","139","","","312","","","","","65","40","5","52",".977","58"
"1971","Orioles","1736","1422","12738.0","4236","1676","111","","","395","","","","","56","52","16","37",".982","58"
"1971","Reds","2020","1458","12996.0","4332","1869","103","","","467","","","","","49","29","11","32",".984","58"
"1979","Rangers","1950","1458","12932.0","4310","1862","129","","","399","","","","","90","58","8","38",".980","58"
"1988","Reds","2016","1449","13095.0","4365","1803","125","","","352","","","","","129","72","13","33",".980","58"
"1936","Giants","1130","154","1385.2","3218","2006","147","","","425","","","","","","","5","",".973","57"
"1973","Dodgers","1835","1458","13419.0","4473","1885","125","","","454","","","","","74","36","24","48",".981","57"
"1982","Padres","1947","1458","13284.0","4429","1825","152","","","362","","","","","136","43","11","28",".976","57"
"1994","Orioles","1332","1008","8979.0","2993","1127","57","","","273","","","","","61","28","5","18",".986","57"
"1998","Tigers","2058","1458","13017.0","4340","1812","115","","","452","","","","","120","69","14","60",".982","57"
"1884","Buckeyes","670","110","962.1","2450","1340","346","","","166","","","","","","","127","",".916","56"
"1890","Colts","851","139","1237.1","2857","1631","280","","","196","","","","","","","72","",".941","56"
"1946","Reds","1141","156","1413.1","3203","1875","131","","","487","","","","","","","4","",".975","56"
"1963","Yankees","1781","1449","13044.0","4339","1713","110","","","421","","","","","36","18","9","32",".982","56"
"1964","Angels","1937","1458","13056.0","4347","1848","138","","","457","","","","","51","37","8","42",".978","56"
"1965","White Sox","2061","1458","13335.0","4445","1936","127","","","429","","","","","80","38","45","64",".980","56"
"1982","Twins","1833","1458","12897.0","4301","1559","109","","","417","","","","","128","57","6","45",".982","56"
"1939","Yankees","1020","152","1348.2","2971","1600","108","","","433","","","","","","","8","",".977","55"
"1964","Tigers","1800","1467","13077.0","4362","1633","111","","","374","","","","","26","32","14","45",".982","55"
"1966","Cardinals","1852","1458","13137.0","4382","1835","145","","","458","","","","","55","48","11","42",".977","55"
"2000","Rockies","2142","1458","12870.0","4290","1728","94","","","468","","","","","102","34","15","40",".985","55"
"1872","Red Stockings","307","48","430.1","1114","649","241","","","101","","","","","","","0","",".880","54"
"1922","Giants","1128","156","1396.1","3179","2023","152","","","373","","","","","","","16","",".972","54"
"1972","Reds","1812","1386","12714.0","4233","1668","110","","","379","","","","","31","39","5","42",".982","54"
"1982","Cardinals","2034","1458","13188.0","4394","2039","124","","","456","","","","","149","64","14","46",".981","54"
"1921","Giants","1125","153","1372.1","3101","2066","154","","","396","","","","","","","8","",".971","53"
"1969","Mets","1904","1458","13215.0","4406","1692","122","","","402","","","","","54","47","7","56",".980","53"
