"Season","Team","G","GS","Inn","PO","A","E","FE","TE","DP","DPS","DPT","DPF","Scp","SB","CS","PB","WP","FP","TZ"
"1962","Indians","1860","1458","12969.0","4328","1708","139","","","456","","","","","54","39","16","27",".977","31"
"1963","Cardinals","1924","1458","13170.0","4385","1613","147","","","368","","","","","83","45","20","50",".976","31"
"1979","Expos","1822","1439","13017.0","4337","1716","131","","","329","","","","","103","77","4","28",".979","31"
"1981","Expos","1287","972","8775.0","2927","1122","79","","","226","","","","","65","48","5","28",".981","31"
"1984","Padres","1955","1458","13143.0","4379","1632","138","","","384","","","","","125","46","12","44",".978","31"
"1882","Grays","513","84","752.0","1835","1035","295","","","151","","","","","","","78","",".907","30"
"1885","Browns","682","112","1002.0","2391","1308","304","","","154","","","","","","","123","",".924","30"
"1890","Colonels","840","134","1206.0","2928","1664","333","","","181","","","","","","","84","",".932","30"
"1894","Giants","867","137","1212.0","2853","1661","369","","","224","","","","","","","47","",".924","30"
"1904","Americans","960","157","1406.0","3406","1955","202","","","190","","","","","","","19","",".964","30"
"1917","Indians","1127","156","1412.2","3257","2111","209","","","309","","","","","","","12","",".963","30"
"1921","Yankees","1053","153","1364.0","3144","1900","168","","","329","","","","","","","13","",".968","30"
"1926","Cubs","1084","155","1378.1","3105","1952","127","","","430","","","","","","","17","",".976","30"
"1927","Reds","1085","153","1368.0","2998","1902","126","","","389","","","","","","","9","",".975","30"
"1934","Cubs","1099","152","1361.1","3141","1759","103","","","323","","","","","","","13","",".979","30"
"1941","Dodgers","1171","157","1421.0","3195","1720","137","","","323","","","","","","","6","",".973","30"
"1955","Yankees","1246","154","1372.1","3065","1584","112","","","488","","","","","","","5","24",".976","30"
"1956","Yankees","1798","1386","12435.0","4141","1712","136","","","572","","","","","33","33","9","21",".977","30"
"1956","Giants","1821","1386","12393.0","4154","1655","144","","","371","","","","","28","30","24","18",".976","30"
"1962","Giants","1883","1485","13155.0","4392","1648","142","","","393","","","","","65","25","13","35",".977","30"
"1965","Angels","1951","1458","12975.0","4324","1867","123","","","391","","","","","57","29","20","52",".981","30"
"1970","Reds","1981","1458","13002.0","4332","1833","151","","","474","","","","","46","38","10","43",".976","30"
"1974","Cardinals","1974","1449","13260.0","4418","1778","147","","","519","","","","","119","57","17","40",".977","30"
"1977","Royals","1916","1457","13146.0","4384","1788","137","","","385","","","","","84","51","13","52",".978","30"
"1980","Orioles","1970","1458","13139.0","4378","1817","95","","","488","","","","","93","67","11","43",".985","30"
"1984","Blue Jays","2002","1467","13176.0","4393","1668","122","","","435","","","","","75","40","9","42",".980","30"
"1988","Rangers","1928","1449","12944.0","4317","1756","131","","","396","","","","","145","52","36","72",".979","30"
"1988","Pirates","1963","1440","12966.0","4324","1804","125","","","334","","","","","142","58","8","66",".980","30"
"1988","Padres","1899","1449","13041.0","4346","1767","120","","","395","","","","","74","56","11","41",".981","30"
"1989","Mets","1971","1458","13089.0","4363","1462","144","","","282","","","","","158","57","11","50",".976","30"
"2001","Twins","2000","1458","12972.0","4324","1542","108","","","313","","","","","73","43","4","58",".982","30"
"1874","Athletics","344","55","487.0","1143","579","297","","","75","","","","","","","0","",".853","29"
"1879","Grays","530","85","776.0","1988","1137","312","","","91","","","","","","","82","",".909","29"
"1889","Beaneaters","826","133","1166.0","2807","1623","328","","","255","","","","","","","46","",".931","29"
"1892","Beaneaters","937","152","1336.0","3211","1897","371","","","311","","","","","","","54","",".932","29"
"1895","Grooms","836","132","1150.2","2627","1645","255","","","209","","","","","","","20","",".944","29"
"1901","Pirates","879","140","1244.2","2900","1704","250","","","221","","","","","","","23","",".948","29"
"1913","Athletics","1082","153","1351.1","3214","1907","175","","","250","","","","","","","13","",".967","29"
"1914","Senators","1114","157","1420.2","3399","1890","194","","","274","","","","","","","22","",".965","29"
"1927","Giants","1135","155","1381.2","3119","1993","160","","","401","","","","","","","12","",".970","29"
"1938","Cubs","1117","154","1396.2","3181","1792","115","","","387","","","","","","","11","",".977","29"
"1940","Yankees","1076","155","1373.0","3037","1688","119","","","405","","","","","","","6","",".975","29"
"1943","Indians","1141","153","1406.1","3160","1796","124","","","480","","","","","","","3","",".976","29"
"1947","Dodgers","1214","149","1290.1","3051","1665","103","","","457","","","","","","","11","",".979","29"
"1962","Senators","1900","1458","13005.0","4326","1776","139","","","428","","","","","45","35","15","31",".978","29"
"1968","Angels","2009","1457","12924.0","4305","1712","140","","","411","","","","","84","56","18","67",".977","29"
"1970","Yankees","1873","1467","13245.0","4409","1927","130","","","395","","","","","41","41","12","32",".980","29"
"1976","Phillies","1995","1458","13131.0","4378","1671","115","","","399","","","","","103","38","6","38",".981","29"
"1984","Pirates","1930","1458","13230.0","4413","1793","128","","","380","","","","","115","71","6","43",".980","29"
"1985","Yankees","1895","1449","12963.0","4322","1563","126","","","456","","","","","107","46","18","34",".979","29"
"1988","Blue Jays","1958","1458","13041.0","4350","1737","110","","","448","","","","","120","55","12","48",".982","29"
"1989","Pirates","2022","1476","13389.0","4461","1757","160","","","341","","","","","190","56","19","55",".975","29"
"1990","Blue Jays","1918","1458","13086.0","4361","1719","86","","","380","","","","","95","67","14","43",".986","29"
"1993","Royals","1966","1458","13008.0","4337","1709","97","","","393","","","","","119","71","15","76",".984","29"
"1999","Astros","2072","1457","13128.0","4376","1732","106","","","462","","","","","94","43","9","54",".983","29"
"1874","Red Stockings","447","71","633.0","1582","852","385","","","130","","","","","","","0","",".863","28"
"1876","Dark Blues","424","69","624.0","1470","747","281","","","51","","","","","","","31","",".888","28"
"1877","Dark Blues","364","60","544.0","1366","750","248","","","74","","","","","","","38","",".895","28"
"1886","Alleghenys","851","140","1226.0","2961","1633","364","","","208","","","","","","","162","",".927","28"
"1888","Giants","833","137","1208.0","2983","1552","368","","","180","","","","","","","128","",".925","28"
"1892","Pirates","951","152","1347.1","3264","2026","387","","","257","","","","","","","62","",".932","28"
"1908","Naps","1031","157","1424.1","3456","2125","211","","","252","","","","","","","22","",".964","28"
"1910","White Sox","1031","156","1421.0","3571","2145","272","","","244","","","","","","","17","",".955","28"
"1914","Giants","1118","156","1390.2","3173","1973","211","","","265","","","","","","","7","",".961","28"
"1919","Reds","943","140","1274.0","2887","1791","125","","","232","","","","","","","16","",".974","28"
"1920","Red Sox","1052","154","1395.1","3229","2041","147","","","312","","","","","","","12","",".973","28"
"1928","Reds","1097","153","1371.2","2983","1892","122","","","483","","","","","","","10","",".976","28"
"1933","Tigers","1114","155","1398.0","3165","1794","139","","","424","","","","","","","6","",".973","28"
"1939","Giants","1114","151","1319.0","3074","1858","137","","","404","","","","","","","10","",".973","28"
"1942","Giants","1107","154","1370.0","3144","1772","119","","","323","","","","","","","5","",".976","28"
"1957","Tigers","1769","1386","12756.0","4248","1568","121","","","410","","","","","33","39","12","18",".980","28"
"1957","Cardinals","1816","1386","12720.0","4236","1775","131","","","460","","","","","46","30","22","40",".979","28"
"1962","Orioles","1917","1458","13161.0","4388","1712","122","","","415","","","","","80","40","32","47",".980","28"
"1986","Astros","2071","1458","13107.0","4369","1564","130","","","293","","","","","176","62","9","50",".979","28"
"1990","Phillies","2053","1458","13041.0","4346","1740","117","","","399","","","","","104","56","8","69",".981","28"
"1991","Blue Jays","1986","1458","13164.0","4388","1686","127","","","299","","","","","118","53","21","55",".980","28"
"2000","Mariners","2114","1458","12975.0","4325","1633","99","","","476","","","","","82","38","8","43",".984","28"
"2000","Brewers","2071","1467","13197.0","4399","1748","118","","","503","","","","","86","58","12","60",".981","28"
"1875","Red Stockings","544","82","732.0","1825","995","385","","","129","","","","","","","0","",".880","27"
"1882","White Stockings","527","84","763.2","1812","982","295","","","120","","","","","","","68","",".904","27"
"1888","Browns","842","137","1212.2","2873","1525","355","","","150","","","","","","","98","",".925","27"
"1896","Spiders","854","135","1195.2","2781","1759","230","","","278","","","","","","","28","",".952","27"
"1903","Highlanders","868","136","1201.1","2883","1748","206","","","216","","","","","","","21","",".957","27"
"1914","Pirates","1122","158","1405.0","3185","1972","179","","","215","","","","","","","22","",".966","27"
"1931","Giants","1103","153","1360.2","3048","1730","136","","","329","","","","","","","8","",".972","27"
"1943","Yankees","1053","155","1415.1","3166","1731","138","","","442","","","","","","","11","",".973","27"
"1977","Expos","1943","1458","13328.2","4451","1846","129","","","334","","","","","135","63","12","50",".980","27"
"1986","Pirates","2139","1458","13056.0","4349","1918","143","","","365","","","","","137","80","9","59",".978","27"
"1992","Tigers","1994","1458","12921.0","4307","1766","116","","","441","","","","","102","61","8","57",".981","27"
"1994","Braves","1424","1026","9237.0","3079","1232","81","","","233","","","","","90","32","11","35",".982","27"
"1994","Astros","1427","1035","9267.0","3088","1263","77","","","282","","","","","85","36","16","35",".983","27"
"1995","Reds","1937","1296","11604.0","3868","1507","79","","","377","","","","","92","30","11","58",".986","27"
"1885","White Stockings","700","113","1015.2","2493","1536","405","","","198","","","","","","","104","",".909","26"
"1888","Red Stockings","834","137","1237.2","3003","1729","395","","","229","","","","","","","96","",".923","26"
"1890","Giants","837","135","1177.0","2958","1653","349","","","217","","","","","","","96","",".930","26"
"1902","Browns","882","139","1244.0","2901","1830","213","","","291","","","","","","","27","",".957","26"
"1905","Pirates","999","155","1382.2","3218","2032","234","","","282","","","","","","","25","",".957","26"
"1907","Americans","1023","155","1414.0","3425","2105","246","","","232","","","","","","","23","",".957","26"
"1908","Browns","1005","155","1397.0","3348","2050","192","","","231","","","","","","","23","",".966","26"
"1909","Cubs","1008","155","1399.1","3386","1905","212","","","213","","","","","","","7","",".961","26"
"1915","Yankees","1031","154","1382.2","3289","1956","185","","","278","","","","","","","18","",".966","26"
"1931","Cardinals","1110","154","1384.2","3083","1759","123","","","441","","","","","","","6","",".975","26"
"1942","Reds","1067","154","1411.2","3193","1765","154","","","423","","","","","","","13","",".970","26"
"1949","Red Sox","1070","155","1377.0","3049","1702","98","","","553","","","","","","","4","",".980","26"
"1955","Phillies","1190","154","1356.2","3018","1427","94","","","308","","","","","","","18","27",".979","26"
"1962","White Sox","1942","1458","13065.0","4337","1760","109","","","403","","","","","72","25","13","33",".982","26"
"1962","Twins","1941","1467","13161.0","4386","1777","128","","","465","","","","","42","32","13","55",".980","26"
"1963","Red Sox","1748","1449","13047.0","4348","1588","134","","","326","","","","","62","17","12","50",".978","26"
"1969","Angels","1947","1467","12945.0","4311","1757","136","","","438","","","","","89","56","30","65",".978","26"
"1970","Expos","2043","1458","12948.0","4315","1751","141","","","506","","","","","78","46","12","49",".977","26"
"1980","Pirates","1914","1458","13125.0","4376","1816","136","","","422","","","","","125","64","6","28",".979","26"
"1983","Padres","1989","1467","13208.0","4405","1729","129","","","363","","","","","152","74","9","33",".979","26"
"1996","Giants","2109","1458","12981.0","4327","1634","136","","","436","","","","","108","69","13","58",".978","26"
"1998","Yankees","1942","1458","13110.0","4368","1643","98","","","386","","","","","102","51","12","37",".984","26"
"1883","Metropolitans","583","97","874.0","2269","1056","332","","","101","","","","","","","79","",".909","25"
"1885","Maroons","675","111","965.1","2354","1371","318","","","159","","","","","","","107","",".921","25"
"1887","White Stockings","785","127","1126.0","2798","1619","357","","","232","","","","","","","115","",".925","25"
"1890","Broncos","830","133","1161.2","2802","1627","336","","","232","","","","","","","51","",".929","25"
"1902","White Sox","858","138","1221.2","2839","1791","212","","","304","","","","","","","23","",".956","25"
"1903","Browns","862","139","1222.1","2939","1771","229","","","212","","","","","","","12","",".954","25"
"1906","Giants","1004","152","1334.1","3286","2071","196","","","200","","","","","","","26","",".965","25"
"1914","Chi-Feds","1091","157","1420.1","3381","1986","216","","","281","","","","","","","14","",".961","25"
"1919","Cubs","950","140","1265.0","2989","1894","160","","","220","","","","","","","6","",".968","25"
"1919","Cardinals","1009","138","1217.1","2848","1901","187","","","262","","","","","","","13","",".962","25"
"1945","Yankees","1045","152","1355.0","2981","1693","153","","","447","","","","","","","8","",".968","25"
"1948","Pirates","1196","156","1371.2","3021","1736","116","","","376","","","","","","","20","",".976","25"
"1949","White Sox","1165","154","1363.1","3033","1807","110","","","483","","","","","","","7","",".978","25"
"1950","Dodgers","1186","155","1389.2","3138","1646","105","","","495","","","","","","","8","",".979","25"
"1952","Cardinals","1210","154","1361.1","3141","1767","125","","","426","","","","","","","11","",".975","25"
"1968","Red Sox","1827","1458","13023.0","4346","1675","128","","","393","","","","","104","42","19","73",".979","25"
"1979","Yankees","1831","1440","12891.0","4299","1970","122","","","503","","","","","83","55","15","45",".981","25"
"1980","Royals","1902","1458","13134.0","4380","1820","140","","","419","","","","","109","56","15","35",".978","25"
"1980","Dodgers","2002","1467","13254.0","4417","1831","123","","","383","","","","","168","51","12","32",".981","25"
"1988","Brewers","1853","1458","13044.0","4350","1714","120","","","400","","","","","95","45","10","36",".981","25"
"1991","Cardinals","2060","1458","12918.0","4306","1688","107","","","346","","","","","121","81","8","33",".982","25"
"1993","Brewers","2053","1458","13023.0","4342","1632","131","","","390","","","","","115","51","12","45",".979","25"
"1994","Athletics","1506","1026","9030.0","3005","1122","88","","","268","","","","","60","45","5","42",".979","25"
"1995","Rangers","1823","1296","11565.0","3853","1590","98","","","417","","","","","55","44","10","60",".982","25"
"1889","Giants","816","131","1151.0","2788","1513","345","","","220","","","","","","","51","",".926","24"
"1891","Reds","897","139","1219.2","3013","1802","321","","","266","","","","","","","59","",".938","24"
"1900","Beaneaters","901","142","1240.1","2841","1767","230","","","187","","","","","","","49","",".952","24"
"1911","White Sox","1095","154","1386.1","3373","2032","216","","","238","","","","","","","25","",".962","24"
"1912","Senators","1037","154","1376.2","3337","1949","238","","","213","","","","","","","22","",".957","24"
"1912","Cubs","1064","152","1358.2","3104","1914","210","","","293","","","","","","","11","",".960","24"
"1914","Cardinals","1102","157","1424.2","3299","1984","209","","","245","","","","","","","14","",".962","24"
"1915","Phillies","1042","153","1374.1","3226","1900","175","","","236","","","","","","","13","",".967","24"
"1927","Yankees","1123","155","1389.2","3102","1972","153","","","322","","","","","","","6","",".971","24"
"1939","Dodgers","1148","157","1410.1","3156","1789","141","","","411","","","","","","","9","",".972","24"
"1944","Indians","1193","155","1419.1","3192","1885","129","","","507","","","","","","","10","",".975","24"
"1945","Red Sox","1141","157","1390.2","3147","1912","142","","","506","","","","","","","18","",".973","24"
"1949","Yankees","1191","155","1371.1","3091","1587","113","","","501","","","","","","","5","",".976","24"
"1958","Tigers","1751","1386","12216.0","4072","1557","106","","","384","","","","","40","37","16","27",".982","24"
"1966","Red Sox","1895","1458","13173.0","4383","1706","155","","","398","","","","","116","50","13","52",".975","24"
"1966","Athletics","1939","1440","12921.0","4325","1646","138","","","400","","","","","89","48","20","51",".977","24"
"1980","Brewers","1806","1458","13050.0","4349","1886","147","","","523","","","","","81","46","6","33",".977","24"
"1980","Cardinals","1983","1458","13023.0","4338","1958","123","","","467","","","","","169","68","12","39",".981","24"
"1981","Yankees","1249","963","8532.0","2845","1157","72","","","273","","","","","70","35","5","25",".982","24"
"1983","Reds","1926","1458","12972.0","4328","1626","114","","","323","","","","","135","81","16","27",".981","24"
"1987","Yankees","1956","1458","13017.0","4341","1683","102","","","410","","","","","114","63","22","61",".983","24"
"1989","Yankees","1902","1449","12732.0","4245","1743","122","","","487","","","","","81","51","7","42",".980","24"
"1994","Pirates","1445","1026","9051.0","3015","1338","91","","","353","","","","","78","31","11","24",".980","24"
"1998","Brewers","2169","1458","13059.0","4353","1761","110","","","517","","","","","125","34","14","48",".982","24"
"1884","Maroons","695","113","993.0","2501","1336","487","","","173","","","","","","","107","",".887","23"
"1885","Alleghenys","677","111","1011.0","2526","1321","325","","","175","","","","","","","141","",".922","23"
"1889","Red Stockings","883","141","1243.0","3013","1701","352","","","294","","","","","","","112","",".931","23"
"1892","Phillies","975","155","1379.0","3269","1831","319","","","285","","","","","","","43","",".941","23"
"1892","Spiders","929","152","1336.0","3129","1796","333","","","205","","","","","","","30","",".937","23"
"1895","Pirates","845","133","1171.2","2764","1676","322","","","225","","","","","","","39","",".932","23"
"1913","White Sox","1063","153","1360.1","3235","2010","214","","","259","","","","","","","19","",".961","23"
"1914","Tigers","1102","157","1412.0","3439","2216","250","","","241","","","","","","","23","",".958","23"
"1926","Indians","1055","154","1374.0","3039","1858","140","","","363","","","","","","","5","",".972","23"
"1926","Cardinals","1099","156","1398.2","3007","1878","154","","","350","","","","","","","5","",".969","23"
"1929","Reds","1096","155","1369.1","2957","1943","132","","","408","","","","","","","7","",".974","23"
"1933","Senators","1162","153","1389.2","3028","1784","105","","","392","","","","","","","7","",".979","23"
"1935","Giants","1119","156","1403.2","3181","1840","147","","","327","","","","","","","8","",".972","23"
"1940","Indians","1114","155","1375.0","3019","1591","112","","","439","","","","","","","5","",".976","23"
"1940","Giants","1113","152","1360.1","3179","1866","116","","","341","","","","","","","9","",".978","23"
"1945","Tigers","1118","155","1393.2","3203","1831","140","","","431","","","","","","","11","",".973","23"
"1945","Cubs","1152","155","1366.1","3059","1740","112","","","315","","","","","","","5","",".977","23"
"1947","Athletics","1099","156","1391.1","2988","1646","117","","","415","","","","","","","5","",".975","23"
"1954","Cardinals","1331","153","1390.1","3188","1822","124","","","492","","","","","","","8","29",".976","23"
"1957","Red Sox","1715","1386","12390.0","4126","1864","148","","","481","","","","","32","31","9","24",".976","23"
"1963","Orioles","1939","1458","13068.0","4358","1703","99","","","417","","","","","47","24","11","31",".984","23"
"1963","Phillies","2023","1458","13116.0","4373","1839","142","","","394","","","","","80","60","13","49",".978","23"
"1972","Expos","1873","1404","12612.0","4206","1788","135","","","364","","","","","73","67","11","47",".978","23"
"1989","Astros","1995","1458","13314.0","4438","1654","141","","","324","","","","","170","40","14","50",".977","23"
"1994","Marlins","1512","1035","9135.0","3046","1207","95","","","294","","","","","59","52","18","57",".978","23"
"1996","Rangers","1991","1467","13044.0","4349","1647","87","","","416","","","","","62","56","10","38",".986","23"
"1997","Expos","2079","1458","13023.0","4339","1697","132","","","407","","","","","192","42","13","52",".979","23"
"1882","Blues","510","84","751.2","1825","1093","278","","","191","","","","","","","124","",".913","22"
"1896","Beaneaters","830","132","1155.2","2701","1686","311","","","229","","","","","","","41","",".934","22"
"1899","Orphans","937","152","1331.1","3098","2096","379","","","324","","","","","","","15","",".932","22"
"1906","Pirates","982","154","1358.0","3261","1945","194","","","259","","","","","","","26","",".964","22"
"1918","Giants","866","124","1111.2","2539","1615","118","","","182","","","","","","","10","",".972","22"
"1922","White Sox","1053","155","1403.2","3149","1926","117","","","307","","","","","","","3","",".977","22"
"1934","Tigers","1091","154","1370.2","3101","1731","110","","","380","","","","","","","6","",".978","22"
"1938","Reds","1086","151","1362.0","2991","1729","148","","","352","","","","","","","13","",".970","22"
"1946","Red Sox","1137","156","1396.2","3105","1724","111","","","450","","","","","","","9","",".978","22"
"1951","Yankees","1244","154","1367.0","3057","1591","125","","","490","","","","","","","4","",".974","22"
"1953","Phillies","1165","156","1369.2","3016","1533","126","","","424","","","","","","","14","",".973","22"
"1962","Braves","1881","1458","12912.0","4301","1802","124","","","407","","","","","47","42","13","35",".980","22"
"1963","Angels","1916","1449","13098.0","4354","1827","163","","","420","","","","","56","41","18","47",".974","22"
"1964","Reds","1807","1467","13203.0","4412","1599","130","","","358","","","","","70","45","18","51",".979","22"
"1966","Giants","1996","1449","13287.0","4425","1814","168","","","345","","","","","84","43","23","44",".974","22"
"1969","Twins","2114","1458","13479.0","4508","1856","150","","","477","","","","","70","35","18","48",".977","22"
"1974","Yankees","1831","1458","13098.0","4365","1797","142","","","414","","","","","80","55","7","47",".977","22"
"1976","Red Sox","1775","1458","13122.0","4376","1761","141","","","402","","","","","115","60","8","33",".978","22"
"1978","Brewers","1745","1458","12924.0","4308","1976","150","","","396","","","","","80","46","4","34",".977","22"
"1979","Cardinals","1956","1467","13380.0","4465","1932","131","","","448","","","","","134","52","16","45",".980","22"
"1982","Blue Jays","1951","1458","12993.0","4330","1768","135","","","396","","","","","78","46","7","38",".978","22"
"1994","Expos","1495","1026","9330.0","3109","1178","94","","","245","","","","","99","32","3","32",".979","22"
"1997","Angels","2014","1458","13092.0","4364","1592","123","","","376","","","","","101","63","19","57",".980","22"
"1999","Padres","2213","1458","12783.0","4261","1633","129","","","407","","","","","114","45","15","73",".979","22"
"1873","Athletics","350","52","475.0","1117","599","299","","","66","","","","","","","0","",".852","21"
"1884","Red Stockings","685","112","983.2","2385","1287","335","","","212","","","","","","","92","",".916","21"
"1887","Red Stockings","824","135","1182.2","2732","1624","412","","","243","","","","","","","115","",".914","21"
"1895","Spiders","824","131","1143.2","2640","1631","262","","","182","","","","","","","47","",".942","21"
"1918","Yankees","879","126","1157.1","2673","1655","121","","","339","","","","","","","11","",".973","21"
"1923","Reds","1051","154","1391.1","3146","2019","173","","","348","","","","","","","13","",".968","21"
"1931","Senators","1122","156","1394.1","3096","1650","116","","","373","","","","","","","7","",".976","21"
"1932","Senators","1152","154","1383.1","2950","1712","98","","","411","","","","","","","6","",".979","21"
"1933","Braves","1089","156","1403.0","3026","1861","112","","","373","","","","","","","7","",".978","21"
"1935","Yankees","1054","149","1331.0","2933","1510","115","","","289","","","","","","","9","",".975","21"
"1936","Senators","1069","153","1345.2","3014","1732","137","","","421","","","","","","","7","",".972","21"
"1944","Yankees","1061","154","1390.1","3052","1675","122","","","429","","","","","","","8","",".975","21"
"1959","Yankees","1823","1395","12591.0","4190","1730","131","","","442","","","","","42","36","11","30",".978","21"
"1969","Dodgers","1851","1458","13113.0","4364","1836","126","","","350","","","","","78","42","17","51",".980","21"
"1973","Cardinals","1937","1458","13146.0","4379","1699","159","","","388","","","","","74","53","27","46",".975","21"
"1990","Rangers","2116","1458","13002.0","4334","1721","133","","","436","","","","","131","52","35","61",".979","21"
"1999","Mets","2239","1467","13110.0","4370","1607","68","","","395","","","","","134","44","10","38",".989","21"
"1872","Athletics","282","47","419.0","993","524","243","","","44","","","","","","","0","",".862","20"
"1874","Atlantics","359","56","506.0","1270","760","422","","","36","","","","","","","0","",".828","20"
"1875","Dark Blues","538","86","771.0","1872","887","347","","","109","","","","","","","0","",".888","20"
"1886","Browns","844","139","1229.1","2905","1557","431","","","229","","","","","","","108","",".912","20"
"1889","Hoosiers","859","135","1174.1","2816","1675","344","","","239","","","","","","","73","",".929","20"
"1901","Cardinals","890","142","1269.2","2954","1851","253","","","254","","","","","","","29","",".950","20"
"1908","Doves","1046","156","1404.2","3301","2157","208","","","242","","","","","","","10","",".963","20"
"1910","Senators","1013","157","1373.1","3374","2032","218","","","221","","","","","","","30","",".961","20"
"1913","Naps","1062","155","1386.2","3299","1924","201","","","285","","","","","","","13","",".963","20"
"1916","Browns","1155","146","1443.2","3350","2122","196","","","303","","","","","","","20","",".965","20"
"1916","White Sox","1121","155","1412.1","3306","1915","179","","","309","","","","","","","6","",".967","20"
"1916","Giants","1093","155","1397.1","3294","1971","179","","","262","","","","","","","17","",".967","20"
"1922","Senators","1064","154","1362.1","3069","1955","149","","","406","","","","","","","11","",".971","20"
"1925","Pirates","1092","153","1354.2","2948","1824","174","","","443","","","","","","","13","",".965","20"
"1930","Red Sox","1106","154","1360.1","2983","1797","161","","","409","","","","","","","12","",".967","20"
"1935","Indians","1114","156","1396.0","3149","1885","153","","","388","","","","","","","9","",".971","20"
"1948","Red Sox","1096","155","1379.1","2945","1766","91","","","469","","","","","","","5","",".981","20"
"1951","Athletics","1144","154","1358.0","3001","1805","107","","","535","","","","","","","12","",".978","20"
"1955","White Sox","1276","155","1378.0","3081","1665","87","","","386","","","","","","","6","17",".982","20"
"1961","Giants","1808","1395","12492.0","4162","1511","133","","","318","","","","","63","29","10","34",".977","20"
"1971","Angels","1903","1458","13329.0","4444","1896","131","","","416","","","","","84","49","25","60",".980","20"
"1977","Astros","1889","1458","13191.0","4405","1850","142","","","345","","","","","143","80","24","46",".978","20"
"1991","Athletics","2169","1458","12999.0","4333","1608","107","","","392","","","","","116","60","8","60",".982","20"
"1995","Braves","1837","1296","11625.0","3875","1569","100","","","313","","","","","132","37","8","38",".982","20"
"1997","Red Sox","2032","1458","13065.0","4354","1696","135","","","480","","","","","171","53","36","51",".978","20"
"1871","Olympics","198","32","282.0","644","381","176","","","42","","","","","","","0","",".853","19"
"1884","Orioles","656","108","955.2","2455","1200","376","","","126","","","","","","","130","",".907","19"
"1887","Browns","844","137","1199.1","2726","1620","386","","","191","","","","","","","110","",".918","19"
"1889","Bridegrooms","864","138","1212.2","2885","1679","358","","","210","","","","","","","87","",".927","19"
"1893","Beaneaters","814","131","1163.2","2678","1616","282","","","276","","","","","","","32","",".938","19"
"1899","Superbas","933","148","1269.1","2940","1872","278","","","284","","","","","","","19","",".945","19"
"1903","Naps","871","140","1243.2","2978","1867","280","","","232","","","","","","","24","",".945","19"
"1909","Naps","997","155","1361.0","3240","1996","225","","","259","","","","","","","24","",".959","19"
"1914","White Sox","1116","157","1398.2","3409","2155","248","","","212","","","","","","","16","",".957","19"
"1920","Indians","1064","154","1377.0","3136","1925","153","","","279","","","","","","","9","",".971","19"
"1927","Cubs","1073","153","1385.0","3078","1915","148","","","378","","","","","","","15","",".971","19"
"1938","Bees","1099","153","1380.0","3038","1818","146","","","345","","","","","","","6","",".971","19"
"1941","Reds","1087","154","1386.2","3144","1748","131","","","390","","","","","","","20","",".974","19"
"1945","Athletics","1078","153","1381.0","3176","1867","141","","","404","","","","","","","9","",".973","19"
"1950","Phillies","1168","157","1406.0","3135","1702","130","","","413","","","","","","","6","",".974","19"
"1955","Braves","1162","154","1383.0","3101","1744","119","","","397","","","","","","","10","19",".976","19"
"1955","Cardinals","1315","154","1376.2","3131","1625","117","","","399","","","","","","","14","18",".976","19"
"1964","Cardinals","1848","1458","13005.0","4332","1782","173","","","397","","","","","57","26","19","30",".972","19"
"1966","Orioles","1887","1440","13197.0","4401","1655","115","","","377","","","","","82","52","23","53",".981","19"
"1967","Giants","1943","1458","13272.0","4429","1903","133","","","401","","","","","75","45","18","48",".979","19"
"1971","Red Sox","1777","1458","12987.0","4325","1621","116","","","397","","","","","78","31","18","37",".981","19"
"1989","Orioles","1939","1458","13035.0","4347","1796","87","","","451","","","","","114","51","8","38",".986","19"
"1990","Indians","1962","1458","12846.0","4281","1648","117","","","381","","","","","97","53","14","50",".981","19"
"1995","Angels","1844","1305","11559.0","3853","1416","95","","","330","","","","","88","46","13","42",".982","19"
"1998","Rangers","2018","1458","12882.0","4294","1580","121","","","363","","","","","64","55","10","62",".980","19"
"2001","Athletics","2019","1458","13170.0","4390","1754","125","","","395","","","","","124","55","4","42",".980","19"
"1873","Atlantics","343","55","500.0","1195","774","419","","","64","","","","","","","0","",".825","18"
"1875","White Stockings","443","69","625.0","1518","857","390","","","66","","","","","","","0","",".859","18"
"1877","Grays","372","61","559.0","1349","776","204","","","89","","","","","","","60","",".912","18"
"1880","Blues","517","85","759.2","1878","990","254","","","133","","","","","","","86","",".919","18"
"1884","White Stockings","699","112","997.1","2497","1531","478","","","251","","","","","","","138","",".894","18"
"1884","Athletics","661","108","948.2","2386","1262","371","","","151","","","","","","","129","",".908","18"
"1886","Giants","764","124","1062.0","2558","1450","299","","","170","","","","","","","127","",".931","18"
"1897","Spiders","814","130","1118.2","2596","1530","203","","","170","","","","","","","17","",".953","18"
"1909","Pirates","1020","154","1401.2","3176","1873","195","","","230","","","","","","","10","",".963","18"
"1912","Giants","1099","154","1369.2","3205","1852","230","","","279","","","","","","","18","",".956","18"
"1914","Red Sox","1136","159","1427.1","3285","1865","203","","","226","","","","","","","19","",".962","18"
"1914","Athletics","1072","157","1404.0","3315","1886","181","","","245","","","","","","","25","",".966","18"
"1916","Yankees","1082","156","1428.0","3347","2025","185","","","276","","","","","","","10","",".967","18"
"1916","Braves","1097","158","1415.2","3291","1999","185","","","284","","","","","","","17","",".966","18"
