"Season","Team","PA","HR","R","RBI","SB","ISO","BABIP","AVG","OBP","SLG","wOBA","wRAA","wRC+","EV","BsR","Off","Def","WAR"
"1936","Giants","6038","97","742","687","31",".115",".292",".281",".337",".395",".339","-52.8","98","","3.6","-9.5","99.8","27.8"
"2000","Mets","6328","198","807","761","66",".167",".290",".263",".346",".430",".339","-15.5","99","","-7.2","-16.2","55.3","23.5"
"1918","Indians","4866","9","505","423","165",".081",".285",".260",".344",".341",".339","71.5","103","","5.6","21.7","-18.0","18.7"
"2000","Braves","6275","179","810","758","148",".157",".302",".271",".346",".429",".339","-16.2","96","","4.6","-33.9","83.2","24.5"
"1980","Royals","6357","115","809","766","185",".128",".306",".286",".345",".413",".339","94.2","107","","19.0","70.4","6.7","30.1"
"1961","Yankees","6239","240","827","782","28",".179",".267",".263",".330",".442",".339","73.9","108","","0.3","64.0","111.3","37.3"
"1994","Mariners","4361","153","569","549","48",".182",".287",".269",".335",".451",".339","22.3","99","","0.5","-4.6","-7.1","13.3"
"1986","Indians","6288","157","831","775","141",".146",".315",".284",".337",".430",".339","92.4","106","","6.1","53.0","-64.4","20.5"
"1939","White Sox","6033","64","755","679","113",".099",".294",".275",".349",".374",".339","-23.3","87","","-6.8","-117.6","52.1","15.1"
"1980","Orioles","6282","156","805","751","111",".140",".290",".273",".342",".413",".339","90.9","111","","6.2","85.2","7.4","31.5"
"1922","Athletics","5857","111","704","631","60",".132",".287",".270",".331",".402",".339","-45.1","87","","-5.8","-105.5","11.1","9.3"
"1915","Tip-Tops","5711","36","647","561","249",".092",".300",".268",".336",".360",".339","80.1","104","","46.1","71.1","-4.6","24.8"
"2006","Braves","6284","222","849","818","52",".184",".304",".270",".337",".455",".339","32.0","100","","-13.4","-13.1","48.1","23.7"
"1954","Phillies","5937","102","659","620","30",".128",".284",".267",".341",".395",".339","24.3","94","","-0.2","-49.3","68.3","21.1"
"2009","Phillies","6338","224","820","788","119",".189",".286",".258",".334",".447",".339","48.1","103","","20.0","42.5","78.4","32.0"
"1898","Reds","5984","19","831","688","165",".087","",".271",".335",".359",".339","22.5","96","","-1.5","-30.6","39.2","22.0"
"1938","White Sox","5806","67","709","657","56",".106",".295",".277",".344",".383",".339","-23.9","82","","-8.3","-162.1","40.2","9.8"
"1946","Cardinals","6020","81","712","665","58",".115",".283",".265",".334",".381",".339","43.8","101","","8.5","17.1","47.8","25.7"
"1939","Senators","6026","44","702","647","94",".101",".298",".278",".346",".379",".339","-24.6","90","","-4.4","-87.1","48.7","17.7"
"1890","Pirates","5503","31","886","705","276",".097",".283",".264",".335",".361",".339","9.7","88","","-3.3","-119.8","11.2","13.3"
"1924","Athletics","5767","63","683","608","77",".107",".301",".281",".336",".389",".339","-40.9","82","","-0.1","-142.2","9.8","7.0"
"1983","Orioles","6273","168","799","761","61",".152",".286",".269",".340",".421",".339","95.1","111","","-1.8","77.5","-14.9","28.0"
"1977","Twins","6382","123","867","804","105",".135",".304",".282",".348",".417",".339","75.3","106","","-0.4","48.6","-32.0","23.7"
"1971","Orioles","6143","158","742","702","66",".138",".282",".261",".347",".398",".339","123.4","112","","0.5","80.3","92.8","39.3"
"1949","Browns","5847","117","666","628","38",".122",".276",".254",".339",".377",".339","-24.0","83","","-10.0","-143.0","-73.3","-1.8"
"2016","Rockies","6236","204","845","805","66",".182",".326",".275",".336",".457",".339","101.5","94","88.5","1.1","-45.0","32.2","18.5"
"1982","Orioles","6325","179","774","735","49",".153",".280",".266",".341",".419",".339","100.5","110","","-5.1","70.5","22.6","30.5"
"1948","Pirates","5943","108","706","650","68",".118",".278",".263",".338",".380",".339","-13.6","91","","11.0","-56.8","62.5","20.1"
"2004","Tigers","6285","201","827","800","86",".177",".308",".272",".337",".449",".339","44.1","106","","3.9","49.5","-41.5","21.7"
"1979","Royals","6350","116","851","791","207",".140",".300",".282",".343",".422",".339","73.3","104","","12.6","45.7","13.4","27.4"
"1935","Browns","6086","73","718","674","45",".114",".290",".270",".344",".384",".339","-17.6","82","","-4.0","-157.1","-9.4","3.8"
"1954","Redlegs","5972","147","729","685","47",".144",".272",".262",".333",".406",".339","19.5","89","","1.8","-84.7","25.9","13.3"
"1994","Expos","4514","108","585","542","137",".158",".307",".278",".343",".435",".339","15.4","99","","11.7","5.9","54.2","20.6"
"1983","Tigers","6246","156","789","749","93",".153",".295",".274",".335",".427",".339","94.2","110","","-3.3","66.6","60.6","34.3"
"1995","Twins","5588","120","703","662","105",".139",".319",".279",".346",".419",".339","25.3","97","","-5.3","-26.7","-16.0","14.5"
"1895","Browns","5257","38","747","629","205",".093",".293",".281",".338",".374",".339","-111.5","85","","-4.7","-143.0","-37.1","2.8"
"2000","Royals","6394","150","879","831","121",".138",".312",".288",".348",".425",".338","-13.1","89","","8.9","-82.8","33.1","17.1"
"1913","Giants","5837","31","684","580","296",".088",".298",".273",".338",".362",".338","54.4","102","","16.0","29.7","41.7","29.2"
"2019","Dodgers","6281","279","886","861","57",".215",".291",".257",".338",".472",".338","94.0","111","89.3","11.9","103.3","51.7","34.8"
"1891","Brewers","1407","13","227","165","47",".100",".279",".261",".333",".361",".338","7.7","88","","-3.7","-30.7","13.5","4.0"
"1938","Pirates","6007","65","707","659","47",".109",".292",".279",".340",".388",".338","-26.9","101","","7.2","12.9","83.0","26.8"
"1924","Cubs","5796","66","698","634","137",".102",".298",".276",".340",".378",".338","-44.9","93","","-22.3","-71.4","47.3","16.4"
"1938","Giants","5841","125","705","672","31",".125",".282",".271",".334",".396",".338","-28.9","100","","4.1","3.2","67.2","23.9"
"1986","Tigers","6269","198","798","751","138",".161",".279",".263",".338",".424",".338","87.7","110","","3.8","76.1","35.5","32.8"
"1897","Pirates","5114","25","676","575","170",".094","",".276",".337",".370",".338","-70.6","90","","-7.8","-85.7","-20.6","7.8"
"1901","Tigers","5245","29","742","611","204",".091","",".279",".340",".370",".338","45.6","97","","4.3","-16.9","23.4","19.1"
"2002","Giants","6298","198","783","751","74",".175",".289",".267",".344",".442",".338","70.0","109","","2.8","73.4","72.1","35.1"
"1962","Yankees","6393","199","817","791","42",".159",".281",".267",".337",".426",".338","80.2","107","","-2.6","54.0","74.4","32.0"
"1921","Senators","5992","42","703","614","112",".106",".298",".278",".342",".384",".338","-44.3","89","","10.8","-83.0","23.9","14.3"
"1987","Brewers","6370","163","862","832","176",".152",".311",".276",".346",".428",".338","65.0","103","","0.9","25.3","-61.3","17.8"
"1975","Phillies","6367","125","735","687","126",".133",".304",".269",".342",".402",".338","77.7","103","","4.6","26.9","72.1","32.0"
"1887","Beaneaters","4908","53","831","649","373",".117",".294",".277",".333",".394",".338","28.1","104","","-0.6","28.5","16.3","18.8"
"1951","Indians","5945","140","696","658","52",".133",".269",".256",".336",".389",".338","5.3","101","","0.7","8.3","37.6","24.0"
"1923","Senators","6053","26","719","626","102",".093",".296",".274",".346",".367",".338","-43.7","93","","7.4","-52.3","45.1","18.7"
"1937","Cardinals","5966","94","789","731","78",".124",".301",".282",".331",".406",".338","-30.3","95","","12.4","-23.2","4.7","17.2"
"1999","Braves","6351","197","840","791","148",".170",".288",".266",".341",".436",".338","-18.5","95","","-0.2","-44.1","85.4","23.8"
"1997","Orioles","6340","196","812","780","63",".160",".290",".268",".341",".429",".338","28.5","102","","1.9","17.8","-4.3","23.2"
"2019","Red Sox","6475","245","901","857","68",".197",".313",".269",".340",".466",".338","100.1","106","89.9","-7.0","44.2","10.9","27.6"
"1997","Braves","6315","174","791","755","108",".156",".310",".270",".343",".426",".338","25.5","101","","-2.9","7.4","114.3","31.8"
"2009","Twins","6346","172","817","770","85",".155",".306",".274",".345",".429",".338","47.6","104","","15.3","42.9","-41.4","22.4"
"1911","Rustlers","6044","37","699","594","169",".088",".294",".267",".340",".355",".338","5.5","89","","-10.6","-91.9","-52.7","5.6"
"1941","Cardinals","6152","70","734","664","47",".106",".291",".272",".340",".377",".338","15.6","99","","6.5","-4.1","81.1","26.5"
"1921","White Sox","5991","35","677","609","94",".096",".307",".284",".344",".380",".338","-47.9","85","","-4.2","-125.6","30.9","10.8"
"1986","Red Sox","6255","144","794","752","41",".144",".286",".271",".346",".415",".338","86.1","103","","-5.9","20.2","-18.6","21.6"
"1981","Red Sox","4281","90","519","492","32",".124",".297",".275",".340",".399",".338","73.5","110","","-4.9","39.4","-5.2","17.9"
"2003","Rangers","6293","239","826","799","65",".188",".287",".266",".330",".454",".338","52.3","99","","7.8","-1.8","-9.5","20.2"
"2001","Athletics","6385","199","884","835","68",".175",".288",".264",".345",".439",".338","59.6","108","","0.6","64.5","0.4","28.0"
"1993","Orioles","6310","157","786","744","73",".146",".293",".267",".346",".413",".338","56.9","104","","-6.4","24.3","52.8","27.8"
"1913","Red Sox","5641","17","630","530","189",".095",".298",".268",".336",".364",".338","49.8","105","","-2.5","31.7","-21.5","20.7"
"2000","Orioles","6238","184","794","750","126",".163",".293",".272",".341",".435",".338","-16.6","98","","-3.9","-19.0","-38.4","15.3"
"1890","Colts","5453","67","847","653","329",".096",".279",".260",".336",".356",".338","4.7","94","","5.8","-40.8","113.3","23.9"
"1959","Redlegs","5922","161","764","721","65",".153",".292",".274",".337",".427",".338","85.7","99","","3.8","-2.1","26.8","23.7"
"1927","Browns","5900","55","724","657","90",".105",".292",".276",".339",".381",".338","-36.2","82","","-14.5","-155.3","8.3","6.3"
"1914","Terrapins","5834","32","645","551","152",".088",".297",".268",".337",".357",".338","65.5","95","","12.2","-20.3","-12.0","17.3"
"1924","Phillies","5855","94","676","615","57",".123",".287",".275",".328",".397",".338","-49.1","79","","-4.1","-154.1","-14.3","2.3"
"2008","Yankees","6257","180","789","758","118",".156",".302",".271",".342",".427",".338","46.5","104","","-6.7","24.3","-28.4","21.3"
"1895","Colonels","5205","34","698","574","156",".089",".294",".279",".339",".368",".337","-115.0","87","","-14.2","-130.2","-48.5","2.4"
"1957","Braves","6050","199","772","722","35",".173",".278",".269",".327",".442",".337","87.7","111","","4.7","86.1","70.6","35.1"
"1969","Twins","6424","163","790","733","115",".141",".292",".268",".340",".408",".337","113.2","106","","-1.1","40.8","60.0","30.8"
"1969","Red Sox","6294","197","743","701","41",".164",".268",".251",".333",".415",".337","109.0","101","","-7.4","1.1","36.5","23.6"
"2007","Brewers","6238","231","801","774","96",".194",".289",".262",".329",".456",".337","28.1","100","","7.4","7.7","44.1","25.1"
"1899","Orphans","5766","27","812","661","247",".081","",".277",".338",".359",".337","-29.3","93","","6.3","-51.6","44.8","20.1"
"2006","Rangers","6273","183","835","799","53",".168",".311",".278",".338",".446",".337","30.6","97","","-7.4","-31.5","-21.7","15.9"
"1890","Beaneaters","5321","31","763","580","285",".083",".285",".258",".342",".341",".337","3.1","96","","-2.7","-35.4","41.2","17.3"
"1951","Pirates","5973","137","689","648","29",".139",".270",".258",".331",".397",".337","1.1","90","","-0.8","-78.1","4.9","12.9"
"1955","Indians","6050","148","698","657","28",".136",".271",".257",".349",".394",".337","46.0","101","","1.3","8.4","-21.9","20.4"
"1911","Naps","5885","20","691","579","209",".086","",".282",".333",".369",".337","2.0","92","","0.0","-61.1","33.6","18.3"
"2014","Rockies","6164","186","755","721","85",".169",".326",".276",".327",".445",".337","125.0","97","","-12.3","-33.1","2.2","17.0"
"1937","Pirates","5996","47","704","649","32",".099",".306",".285",".343",".384",".337","-30.9","97","","2.8","-20.6","56.2","22.7"
"1941","Tigers","6077","81","686","637","43",".112",".283",".263",".340",".375",".337","11.7","83","","-5.7","-144.7","-2.5","7.4"
"1939","Cubs","5990","91","724","671","61",".125",".283",".266",".336",".391",".337","-32.7","94","","9.8","-32.4","3.5","15.2"
"1912","Phillies","5754","43","670","570","159",".100",".297",".267",".332",".367",".337","1.5","89","","-8.3","-94.6","23.7","12.9"
"1994","Rockies","4493","125","573","540","91",".165",".308",".274",".337",".439",".337","10.9","87","","-5.1","-81.3","-5.8","6.2"
"2009","Blue Jays","6362","209","798","766","73",".174",".290",".266",".333",".440",".337","43.9","101","","12.2","21.5","-50.0","19.5"
"1934","Giants","5934","126","760","716","19",".130",".286",".275",".329",".405",".337","-24.5","97","","1.3","-18.7","94.4","26.4"
"2006","Dodgers","6394","153","820","787","128",".157",".307",".276",".348",".432",".337","25.2","101","","-4.8","3.4","-2.6","20.7"
"2011","Tigers","6231","169","787","750","49",".157",".318",".277",".340",".434",".337","104.9","109","","-15.2","48.5","-36.5","23.1"
"1995","Athletics","5617","169","730","694","112",".157",".289",".264",".341",".421",".337","18.2","101","","0.9","8.1","-55.6","13.9"
"1940","Browns","6051","118","757","715","51",".138",".280",".263",".333",".401",".337","11.5","86","","-9.8","-125.3","14.9","10.6"
"1938","Reds","5878","110","723","679","19",".129",".291",".277",".327",".406",".337","-33.0","102","","1.8","15.6","75.4","26.0"
"2007","Braves","6374","176","810","781","64",".160",".314",".275",".339",".435",".337","25.7","99","","-6.2","-12.5","80.4","27.2"
"1954","White Sox","5972","94","711","655","98",".112",".281",".267",".347",".379",".337","13.6","99","","1.2","-2.6","100.4","28.9"
"2001","White Sox","6151","214","798","770","123",".183",".290",".268",".334",".451",".337","50.4","104","","-1.3","28.4","-7.1","23.0"
"1925","Reds","5838","44","690","624","108",".102",".297",".285",".339",".387",".337","-84.7","88","","-14.0","-108.8","96.6","18.6"
"1950","Phillies","6051","125","722","673","33",".131",".278",".265",".334",".396",".337","-49.5","93","","4.9","-49.9","66.4","20.6"
"1950","Cardinals","5917","102","693","646","23",".127",".277",".259",".339",".386",".337","-46.7","89","","2.9","-78.9","46.0","15.3"
"1992","Blue Jays","6224","163","780","737","129",".151",".288",".263",".333",".414",".337","94.9","108","","9.2","62.6","13.3","29.1"
"1922","Robins","5955","56","743","674","79",".103",".300",".290",".335",".392",".337","-57.1","86","","2.7","-111.3","12.1","11.6"
"1979","Tigers","6081","164","770","729","176",".146",".288",".269",".339",".415",".337","61.2","101","","2.3","9.1","-22.4","19.2"
"1893","Browns","5466","10","745","616","250",".077",".277",".264",".343",".341",".337","-94.9","86","","3.2","-122.8","-1.3","8.5"
"1949","Pirates","5870","126","681","626","48",".125",".270",".259",".332",".384",".337","-34.8","87","","8.4","-90.0","27.1","12.7"
"2004","Athletics","6459","189","793","752","47",".163",".300",".270",".343",".433",".337","36.5","102","","-5.8","10.7","-20.0","20.6"
"1992","Tigers","6310","182","791","746","66",".151",".284",".256",".337",".407",".337","95.3","108","","-5.7","49.8","8.0","27.4"
"2004","Orioles","6431","169","842","803","101",".150",".309",".281",".345",".432",".337","35.8","103","","6.4","31.9","-25.2","22.0"
"1912","Tigers","5885","19","721","569","270",".081","",".267",".343",".349",".337","-0.3","96","","9.3","-18.3","10.1","19.1"
"1922","White Sox","6024","45","691","635","109",".096",".298",".278",".343",".374",".337","-58.9","88","","-1.3","-94.2","63.0","16.1"
"1954","Cubs","5965","159","700","640","46",".149",".276",".263",".325",".412",".337","15.6","89","","1.0","-85.1","14.1","12.0"
"1974","Dodgers","6332","139","798","744","149",".129",".294",".272",".342",".401",".337","81.9","111","","2.5","82.4","68.3","37.4"
"1929","Senators","5997","48","732","656","87",".099",".292",".276",".347",".375",".337","-84.9","88","","-13.3","-110.3","53.3","15.8"
"1996","Angels","6320","192","762","727","53",".155",".303",".276",".339",".431",".337","5.6","94","","-8.5","-64.2","-27.8","13.9"
"2002","Athletics","6291","205","800","772","46",".171",".284",".261",".339",".432",".337","54.7","106","","10.1","59.2","-42.7","23.1"
"1891","Colts","5449","60","832","684","238",".106",".269",".253",".332",".358",".337","22.3","99","","-3.9","-15.2","44.2","21.2"
"1956","Dodgers","5884","179","720","680","65",".161",".270",".258",".342",".419",".337","50.4","100","","1.5","4.2","117.4","29.2"
"2000","Dodgers","6312","211","798","756","95",".174",".283",".257",".341",".431",".337","-29.3","99","","0.5","-4.5","46.3","23.7"
"1910","Pirates","5794","33","655","543","148",".093",".291",".266",".328",".360",".337","71.2","100","","-11.0","-13.7","24.9","22.9"
"1983","Yankees","6279","153","770","728","84",".143",".286",".273",".337",".416",".337","84.8","111","","-0.8","80.0","-57.6","24.1"
"1997","Rangers","6266","187","807","773","72",".164",".309",".274",".334",".438",".337","22.1","95","","-1.1","-42.2","-1.2","17.4"
"1993","Giants","6271","168","808","759","120",".151",".303",".276",".340",".427",".337","47.3","107","","-1.7","55.6","75.0","35.3"
"1912","Braves","6031","35","693","605","137",".087",".308",".273",".335",".361",".336","-1.0","85","","-16.4","-133.2","-23.4","5.2"
"1956","White Sox","6122","128","776","726","70",".130",".282",".267",".349",".397",".336","51.0","99","","4.6","-6.5","50.0","25.4"
"1997","Athletics","6369","197","764","714","71",".163",".295",".260",".339",".423",".336","21.5","101","","-0.9","8.2","-107.8","12.0"
"1997","Angels","6387","161","829","775","126",".144",".300",".272",".346",".416",".336","21.5","100","","-5.4","-8.6","4.6","21.6"
"2004","Rangers","6256","227","860","825","69",".191",".291",".266",".329",".457",".336","32.6","95","","18.0","-25.9","1.3","18.4"
"1912","Cardinals","5813","27","659","561","193",".083",".301",".268",".340",".352",".336","-0.9","92","","-5.0","-69.1","6.2","13.9"
"2007","Mets","6344","177","804","761","200",".157",".303",".275",".342",".432",".336","22.5","100","","14.2","17.4","57.5","27.7"
"1998","Cubs","6394","212","831","788","65",".169",".302",".264",".337",".433",".336","22.7","100","","-6.2","-5.1","26.0","21.7"
"1951","Cardinals","6003","95","683","629","30",".118",".277",".264",".339",".382",".336","-3.1","92","","-1.6","-58.9","69.0","21.4"
"1934","Cubs","5841","101","705","664","59",".122",".302",".279",".330",".402",".336","-27.8","95","","9.4","-25.2","57.0","21.8"
"1976","Phillies","6237","110","770","708","127",".123",".297",".272",".338",".395",".336","95.1","106","","-2.2","36.8","59.7","32.4"
"1902","Americans","5295","42","664","572","132",".105","",".278",".322",".383",".336","56.5","95","","-5.8","-45.0","54.1","20.7"
"2007","Indians","6367","178","811","784","72",".159",".310",".268",".343",".428",".336","27.2","104","","0.3","31.9","-29.6","21.7"
"1974","Reds","6373","135","776","714","146",".135",".289",".260",".343",".394",".336","80.1","108","","11.8","71.6","90.2","38.6"
"1912","Dodgers","5830","32","651","561","179",".090",".297",".268",".336",".358",".336","-3.7","93","","-6.6","-57.9","13.0","15.8"
"2003","White Sox","6148","220","791","766","77",".182",".279",".263",".331",".446",".336","41.4","101","","-5.1","3.1","12.9","22.5"
"1897","Bridegrooms","5334","24","802","644","187",".087","",".279",".336",".366",".336","-83.0","91","","-5.4","-77.3","10.2","12.4"
"2004","Cubs","6281","235","789","755","66",".190",".292",".268",".328",".458",".336","25.2","98","","-12.0","-26.2","74.9","25.4"
"1991","Tigers","6359","209","817","778","109",".169",".277",".247",".333",".416",".336","88.3","106","","3.0","50.3","31.9","29.6"
"1901","Americans","5349","37","759","632","157",".103","",".278",".330",".381",".336","39.3","97","","-4.1","-29.4","73.0","23.2"
"2004","Braves","6339","178","803","767","86",".164",".309",".270",".343",".434",".336","25.9","100","","14.1","13.0","71.5","29.0"
"1942","Dodgers","5991","62","742","678","81",".098",".282",".264",".338",".362",".336","49.6","103","","13.3","32.1","69.6","29.0"
"2017","Indians","6234","212","818","780","88",".186",".295",".263",".339",".449",".336","79.0","105","88.1","11.1","48.8","6.8","26.7"
"2002","Angels","6327","152","851","811","117",".150",".303",".282",".341",".433",".336","51.1","105","","12.5","49.4","16.5","28.2"
"2004","Astros","6269","187","803","756","89",".170",".293",".267",".342",".436",".336","23.9","98","","10.0","-7.1","48.7","24.6"
"1939","Pirates","5923","63","666","617","44",".108",".290",".276",".338",".384",".336","-38.5","93","","6.3","-43.4","17.3","15.3"
"2009","Brewers","6296","182","785","757","68",".164",".305",".263",".341",".426",".336","32.0","103","","-9.6","10.2","38.9","24.6"
"2012","Rangers","6216","200","808","780","91",".173",".306",".273",".334",".446",".336","103.8","106","","-5.8","39.5","-27.3","23.3"
"1932","Tigers","5992","80","798","742","105",".128",".291",".273",".335",".401",".336","-6.5","87","","-1.6","-106.8","54.8","16.0"
"1893","Reds","5197","29","759","615","238",".082",".269",".259",".342",".341",".336","-95.0","85","","3.5","-129.3","48.2","11.9"
"1914","Tip-Tops","5805","42","662","573","220",".100",".297",".269",".326",".368",".336","57.7","97","","26.8","3.8","-15.6","19.7"
"1939","Browns","6132","91","733","696","48",".113",".288",".268",".339",".381",".336","-42.1","81","","-9.6","-174.3","-49.2","-0.1"
"2019","Nationals","6267","231","873","824","116",".190",".306",".265",".342",".454",".336","80.3","104","88.6","3.7","32.4","35.8","26.3"
"1979","Orioles","6106","181","757","717","99",".158",".277",".261",".336",".419",".336","56.3","108","","1.9","59.3","54.0","32.1"
"1933","Red Sox","5853","50","700","642","58",".107",".290",".271",".339",".378",".336","24.2","89","","-4.7","-90.0","21.9","14.3"
"1927","Indians","5843","26","669","616","65",".096",".301",".283",".337",".379",".336","-45.4","84","","-22.0","-149.6","7.4","6.5"
"1986","Rangers","6148","184","771","725","103",".160",".301",".267",".331",".428",".336","74.1","103","","-14.0","11.4","-19.3","20.2"
"1913","Phillies","6001","73","693","597","156",".117",".286",".265",".318",".382",".336","43.8","94","","-7.6","-48.5","26.5","19.7"
"1994","Twins","4409","103","594","556","94",".150",".304",".276",".340",".427",".336","8.6","95","","5.7","-21.4","-5.4","12.0"
"2001","Diamondbacks","6349","208","818","776","71",".175",".294",".267",".341",".442",".336","41.9","97","","-2.6","-31.4","88.6","26.0"
"1937","Phillies","5993","103","724","668","66",".118",".295",".273",".334",".391",".336","-39.8","83","","9.8","-116.5","-4.8","7.4"
"1953","Braves","5895","156","738","691","46",".149",".278",".266",".325",".415",".336","-5.2","97","","2.7","-22.8","42.8","20.8"
"2017","Yankees","6354","241","858","821","90",".185",".304",".262",".339",".447",".336","78.6","109","87.6","11.1","82.3","-6.5","29.2"
"1940","White Sox","6003","73","735","671","52",".108",".301",".278",".340",".387",".335","1.9","89","","-18.3","-106.8","71.3","17.9"
"2002","Diamondbacks","6318","165","819","783","92",".156",".298",".267",".346",".423",".335","45.8","97","","1.8","-21.0","36.6","22.1"
"2003","Twins","6324","155","801","755","94",".154",".312",".277",".341",".431",".335","39.8","102","","1.8","19.8","5.4","24.0"
"1988","Blue Jays","6194","158","763","706","107",".151",".295",".268",".332",".419",".335","109.8","109","","2.9","67.5","2.8","29.0"
"2007","Devil Rays","6280","187","782","750","131",".165",".318",".268",".336",".433",".335","22.8","103","","8.4","29.5","-66.0","17.6"
"1960","Yankees","5981","193","746","699","37",".165",".274",".260",".329",".426",".335","74.7","107","","0.3","48.5","106.9","34.0"
"2002","Mariners","6362","152","814","771","137",".144",".307",".275",".350",".419",".335","49.7","110","","12.9","87.6","8.8","31.3"
"1900","Giants","5229","23","713","564","236",".078","",".279",".338",".357",".335","-16.3","95","","6.2","-29.4","-25.5","12.9"
"1999","White Sox","6264","162","777","742","110",".152",".297",".277",".337",".429",".335","-29.5","94","","-0.5","-53.4","-37.7","12.2"
"1915","Terriers","5992","23","634","546","195",".084",".285",".261",".340",".345",".335","68.5","99","","35.0","30.1","39.8","25.5"
"2018","Yankees","6271","267","851","821","63",".202",".285",".249",".329",".451",".335","105.3","112","89.4","14.6","102.8","-4.6","31.4"
"2005","Phillies","6345","167","807","760","116",".154",".306",".270",".348",".423",".335","43.2","98","","9.2","-2.9","88.2","29.3"
"1930","Reds","5880","74","665","625","48",".118",".299",".281",".339",".400",".335","-107.5","82","","9.1","-152.0","35.7","8.4"
"2007","Reds","6332","204","783","747","97",".170",".298",".267",".335",".436",".335","16.0","94","","-7.2","-58.3","8.4","15.5"
"1939","Dodgers","6047","78","708","653","59",".115",".290",".265",".338",".380",".335","-43.7","90","","9.3","-66.0","61.2","17.9"
"1916","Tigers","5969","17","673","560","190",".086",".291",".264",".337",".350",".335","88.8","103","","-0.5","20.7","14.9","25.1"
"1940","Indians","5957","101","710","661","53",".133",".283",".265",".332",".398",".335","2.5","96","","-7.7","-44.3","70.5","23.8"
"1990","Tigers","6224","172","750","714","82",".150",".283",".259",".337",".409",".335","78.8","109","","-8.6","55.7","-37.9","22.5"
"1872","Athletics","2210","4","539","366","58",".066",".323",".317",".338",".383",".335","82.2","112","","-5.8","50.6","16.7","12.2"
"1913","Tigers","5769","24","624","519","218",".090",".291",".265",".336",".355",".335","39.1","100","","1.1","-1.6","-3.7","19.3"
"1914","Phillies","5770","62","651","564","145",".098",".287",".263",".329",".361",".335","55.3","102","","11.5","27.1","-59.0","15.3"
"1962","Twins","6362","185","798","758","33",".152",".274",".260",".338",".412",".335","66.1","99","","-0.7","-4.9","65.6","24.9"
"1871","Haymakers","1297","6","351","241","62",".110",".309",".308",".334",".417",".335","33.6","108","","-6.1","18.1","-11.9","3.5"
"1909","Pirates","5860","25","701","585","185",".093","",".260",".327",".353",".335","107.5","110","","-3.1","57.9","62.1","35.5"
"1970","Orioles","6416","179","792","748","84",".144",".279",".257",".344",".401",".335","76.7","107","","3.5","56.2","102.8","36.9"
"2008","Rays","6312","180","774","735","142",".162",".302",".260",".340",".422",".335","34.9","105","","5.6","43.8","30.3","29.2"
"1891","Giants","5307","46","754","630","224",".097",".279",".263",".329",".360",".335","14.7","102","","-4.6","10.4","41.4","22.5"
"1934","Phillies","5724","56","675","634","52",".100",".308",".284",".338",".384",".335","-32.8","80","","7.9","-138.5","25.6","7.4"
"2001","Cardinals","6177","199","814","768","91",".172",".302",".270",".339",".441",".335","35.4","101","","2.7","11.2","103.0","31.1"
"1971","Pirates","6283","154","788","744","65",".142",".301",".274",".330",".416",".335","110.4","112","","2.8","86.1","47.9","37.3"
"1953","Phillies","5916","115","716","657","42",".132",".281",".265",".335",".396",".335","-7.0","91","","4.8","-63.1","79.7","20.6"
"1951","Tigers","6007","104","685","636","37",".115",".278",".265",".337",".380",".335","-9.6","91","","-1.8","-66.1","20.2","14.9"
"1987","Mets","6335","192","823","771","159",".166",".295",".268",".339",".434",".335","42.3","108","","8.4","69.6","24.6","30.8"
"1984","Blue Jays","6286","143","750","702","193",".148",".296",".273",".331",".421",".335","83.4","103","","11.8","35.2","4.0","24.9"
"1875","Red Stockings","3548","15","831","565","93",".089",".323",".321",".327",".410",".335","206.0","136","","5.9","204.6","20.4","29.8"
"1925","Cubs","5933","86","723","660","94",".122",".289",".275",".329",".397",".335","-96.4","83","","-0.4","-141.6","59.3","12.1"
"1982","Red Sox","6262","136","753","705","42",".132",".294",".274",".340",".407",".335","77.9","100","","-6.9","-6.0","-17.0","18.2"
"1963","Twins","6233","225","767","722","32",".175",".267",".255",".325",".430",".335","142.3","108","","3.0","61.4","72.1","32.7"
"2010","Twins","6257","142","781","749","68",".148",".306",".273",".341",".422",".335","68.0","106","","-15.8","29.5","17.9","27.8"
"1899","Giants","5585","23","734","607","234",".071","",".281",".337",".352",".334","-40.9","93","","3.8","-54.8","-6.8","14.0"
"1890","Reds","5128","27","753","563","312",".101",".277",".259",".329",".360",".334","-9.7","100","","8.9","5.0","60.2","21.7"
"1928","Robins","5992","66","665","621","81",".108",".284",".266",".340",".374",".334","-46.7","89","","13.1","-75.8","20.9","13.2"
"1931","Browns","5945","76","720","666","73",".118",".292",".270",".332",".389",".334","-25.0","84","","-21.5","-151.8","9.2","7.4"
"1995","Astros","5857","109","747","694","176",".124",".320",".275",".353",".399",".334","0.0","104","","7.5","39.2","-9.5","22.2"
"2008","Indians","6299","171","805","772","77",".162",".305",".262",".339",".424",".334","31.0","103","","0.7","24.6","-2.8","24.0"
"1986","Blue Jays","6318","181","809","767","110",".157",".287",".269",".329",".427",".334","69.1","104","","-2.1","26.5","-15.1","22.8"
"2011","Cardinals","6242","162","762","726","57",".151",".305",".273",".341",".425",".334","86.2","112","","-16.5","72.3","17.6","29.6"
"1932","Browns","6064","67","735","684","69",".113",".296",".276",".339",".388",".334","-13.2","83","","-15.0","-158.9","21.8","7.9"
